uid,hn,street,boro,state
90056,33-31,69TH ST,QUEENS,NY
90057,33-29,69TH ST,QUEENS,NY
90058,33-27,69TH ST,QUEENS,NY
90059,33-25,69TH ST,QUEENS,NY
90060,33-21,69TH ST,QUEENS,NY
90061,33-19,69TH ST,QUEENS,NY
90062,33-17,69TH ST,QUEENS,NY
90063,33-15,69TH ST,QUEENS,NY
90064,33-11A,69TH ST,QUEENS,NY
90065,33-11,69TH ST,QUEENS,NY
90066,82-16,34TH AVE,QUEENS,NY
90067,73-02/22,NORTHERN BLVD,QUEENS,NY
90068,82-06/24,NORTHERN BLVD,QUEENS,NY
90069,83-02/16,NORTHERN BLVD,QUEENS,NY
90070,83-18-28,NORTHERN BLVD,QUEENS,NY
90071,89-02,NORTHERN BLVD,QUEENS,NY
90072,89-04,NORTHERN BLVD,QUEENS,NY
90073,89-06,NORTHERN BLVD,QUEENS,NY
90074,89-08,NORTHERN BLVD,QUEENS,NY
90075,89-10,NORTHERN BLVD,QUEENS,NY
90076,89-12,NORTHERN BLVD,QUEENS,NY
90077,89-14,NORTHERN BLVD,QUEENS,NY
90078,89-16,NORTHERN BLVD,QUEENS,NY
90079,89-18,NORTHERN BLVD,QUEENS,NY
90080,89-20,NORTHERN BLVD,QUEENS,NY
90081,69-01,34TH AVE ,QUEENS,NY
90082,33-53,70TH ST,QUEENS,NY
90083,70-05,34TH AVE,QUEENS,NY
90084,70-07,34TH AVE,QUEENS,NY
90085,70-09,34TH AVE,QUEENS,NY
90086,70-11,34TH AVE,QUEENS,NY
90087,70-15,34TH AVE,QUEENS,NY
90088,70-17,34TH AVE,QUEENS,NY
90089,33-54,71ST ST,QUEENS,NY
90090,71-01,34TH AVE,QUEENS,NY
90091,71-03,34TH AVE,QUEENS,NY
90092,71-05,34TH AVE,QUEENS,NY
90093,71-07,34TH AVE,QUEENS,NY
90094,71-09,34TH AVE,QUEENS,NY
90095,71-11,34TH AVE,QUEENS,NY
90096,71-13,34TH AVE,QUEENS,NY
90097,71-15,34TH AVE,QUEENS,NY
90098,71-17,34TH AVE,QUEENS,NY
90099,71-19,34TH AVE,QUEENS,NY
90100,72-17,34TH AVE,QUEENS,NY
90101,76-09,34TH AVE,QUEENS,NY
90102,77-01,34TH AVE,QUEENS,NY
90103,78-01,34TH AVE,QUEENS,NY
90104,78-09,34TH AVE,QUEENS,NY
90105,81-11,34TH AVE,QUEENS,NY
90106,83-03,34TH AVE,QUEENS,NY
90107,83-05,34TH AVE,QUEENS,NY
90108,83-17,34TH AVE,QUEENS,NY
90109,83-11,34TH AVE,QUEENS,NY
90110,85-11,34TH AVE,QUEENS,NY
90111,86-11,34TH AVE ,Queens,NY
90112,86-11,34TH AVE,QUEENS,NY
90113,87-09,34TH AVE,QUEENS,NY
90114,88-11,34TH AVE ,Queens,NY
90115,88-11,34TH AVE,QUEENS,NY
90116,89-01,34TH AVE,QUEENS,NY
90117,89-11,34TH AVE,QUEENS,NY
90118,70-12,34TH AVE,QUEENS,NY
90119,70-16,34TH AVE,QUEENS,NY
90120,70-18,34TH AVE,QUEENS,NY
90121,70-22,34TH AVE,QUEENS,NY
90122,71-02,34TH AVE,QUEENS,NY
90123,71-04,34TH AVE,QUEENS,NY
90124,71-06,34TH AVE,QUEENS,NY
90125,71-10,34TH AVE,QUEENS,NY
90126,71-14,34TH AVE,QUEENS,NY
90127,71-16,34TH AVE,QUEENS,NY
90128,71-20,34TH AVE,QUEENS,NY
90129,71-22,34TH AVE,QUEENS,NY
90130,72-02,34TH AVE,QUEENS,NY
90131,72-06,34TH AVE,QUEENS,NY
90132,72-08,34TH AVE,QUEENS,NY
90133,72-10,34TH AVE,QUEENS,NY
90134,72-12,34TH AVE,QUEENS,NY
90135,72-16,34TH AVE,QUEENS,NY
90136,72-18,34TH AVE,QUEENS,NY
90137,72-22,34TH AVE,QUEENS,NY
90138,76-10,34TH AVE,QUEENS,NY
90139,77-02,34TH AVE,QUEENS,NY
90140,77-10,34TH AVE,QUEENS,NY
90141,79-10,34TH AVE,QUEENS,NY
90142,81-14,34TH AVE,QUEENS,NY
90143,82-06,34TH AVE,QUEENS,NY
90144,84-10,34TH AVE,QUEENS,NY
90145,85-10,34TH AVE,QUEENS,NY
90146,86-10,34TH AVE,QUEENS,NY
90147,87-10,34TH AVE,QUEENS,NY
90148,99-10,34TH AVE,QUEENS,NY
90149,89-04,34TH AVE,QUEENS,NY
90150,89-14,34TH AVE,QUEENS,NY
90151,90-10,34TH AVE,QUEENS,NY
90152,34-55,71ST ST,QUEENS,NY
90153,71-01,35TH AVE,QUEENS,NY
90154,71-03,35TH AVE,QUEENS,NY
90155,71-05,35TH AVE,QUEENS,NY
90156,71-07,35TH AVE,QUEENS,NY
90157,71-09,35TH AVE,QUEENS,NY
90158,71-11,35TH AVE,QUEENS,NY
90159,71-13,35TH AVE,QUEENS,NY
90160,71-15,35TH AVE,QUEENS,NY
90161,71-17,35TH AVE,QUEENS,NY
90162,71-19,35TH AVE,QUEENS,NY
90163,34-56,72ND ST,QUEENS,NY
90164,72-01/11,35TH AVE,QUEENS,NY
90165,74-15,35TH AVE,QUEENS,NY
90166,75-05,35TH AVE,QUEENS,NY
90167,75-15,35TH AVE,QUEENS,NY
90168,76-15,35TH AVE,QUEENS,NY
90169,77-11,35TH AVE,QUEENS,NY
90170,79-01,35TH AVE,QUEENS,NY
90171,79-15,35TH AVE,QUEENS,NY
90172,80-09,35TH AVE,QUEENS,NY
90173,34-49,81ST ST,QUEENS,NY
90174,81-05,35TH AVE,QUEENS,NY
90175,81-15,35TH AVE,QUEENS,NY
90176,82-15,35TH AVE,QUEENS,NY
90177,83-09,35TH AVE,QUEENS,NY
90178,84-09,35TH AVE,QUEENS,NY
90179,85-15,35TH AVE,QUEENS,NY
90180,86-01/17,35TH AVE,QUEENS,NY
90181,87-01,35TH AVE,QUEENS,NY
90182,87-11,35TH AVE,QUEENS,NY
90183,88-01,35TH AVE,QUEENS,NY
90184,88-09,35TH AVE,QUEENS,NY
90185,90-11,35TH AVE,QUEENS,NY
90186,70-18/24,35TH AVE,QUEENS,NY
90187,71-02,35TH AVE,QUEENS,NY
90188,71-04,35TH AVE,QUEENS,NY
90189,71-06,35TH AVE,QUEENS,NY
90190,71-08,35TH AVE,QUEENS,NY
90191,71-10,35TH AVE,QUEENS,NY
90192,71-12,35TH AVE,QUEENS,NY
90193,71-14/26,35TH AVE,QUEENS,NY
90194,73-12,35TH AVE,QUEENS,NY
90195,73-12,35TH AVE,QUEENS,NY
90196,73-12,35TH AVE,QUEENS,NY
90197,73-12,35TH AVE,QUEENS,NY
90198,73-12,35TH AVE,QUEENS,NY
90199,73-12,35TH AVE,QUEENS,NY
90200,73-12,35TH AVE,QUEENS,NY
90201,73-12,35TH AVE,QUEENS,NY
90202,74-10,35TH AVE,QUEENS,NY
90203,75-08,35TH AVE,QUEENS,NY
90204,75-12,35TH AVE,QUEENS,NY
90205,76-02/10,35TH AVE,QUEENS,NY
90206,77-12,35TH AVE,QUEENS,NY
90207,78-12,35TH AVE,QUEENS,NY
90208,79-06,35TH AVE,QUEENS,NY
90209,79-10,35TH AVE,QUEENS,NY
90210,80-08,35TH AVE,QUEENS,NY
90211,81-02-10,35TH AVE,QUEENS,NY
90212,81-02/10,35TH AVE ,Queens,NY
90213,,AVE,QUEENS,NY
90214,83-10,35TH AVE,QUEENS,NY
90215,83-12,35TH AVE,QUEENS,NY
90216,84-12,35TH AVE,QUEENS,NY
90217,86-06,35TH AVE,QUEENS,NY
90218,88-02,35TH AVE,QUEENS,NY
90219,88-10,35TH AVE,QUEENS,NY
90220,89-10,35TH AVE,QUEENS,NY
90221,70-03,37TH AVE,QUEENS,NY
90222,70-07,37TH AVE,QUEENS,NY
90223,70-09,37TH AVE,QUEENS,NY
90224,70-11,37TH AVE,QUEENS,NY
90225,70-13,37TH AVE,QUEENS,NY
90226,70-17,37TH AVE,QUEENS,NY
90227,70-19,37TH AVE,QUEENS,NY
90228,71-05,37TH AVE,QUEENS,NY
90229,71-15,37TH AVE,QUEENS,NY
90230,72-15,37TH AVE,QUEENS,NY
90231,72-23-31,37TH AVE,QUEENS,NY
90232,73-05,37TH AVE,QUEENS,NY
90233,74-01/27,37TH AVE ,Queens,NY
90234,74-01/27,37TH AVE,QUEENS,NY
90235,75-01/23,37TH AVE,QUEENS,NY
90236,76-01/27,37TH AVE,QUEENS,NY
90237,76-01/27,37TH AVE ,Queens,NY
90238,77-01/19,37TH AVE ,Queens,NY
90239,77-01-19,37TH AVE,QUEENS,NY
90240,78-01-13,37TH AVE,QUEENS,NY
90241,78-15/31,37TH AVE ,Queens,NY
90242,78-15/31,37TH AVE,QUEENS,NY
90243,79-01/25,37TH AVE ,Queens,NY
90244,79-01-25,37TH AVE,QUEENS,NY
90245,80-01/27,37TH AVE,QUEENS,NY
90246,80-01/27,37TH AVE ,Queens,NY
90247,82-01/19,37TH AVE,QUEENS,NY
90248,82-01/19,37TH AVE ,Queens,NY
90249,83-01/13,37TH AVE ,Queens,NY
90250,83-01/13,37TH AVE,QUEENS,NY
90251,83-15/27,37TH AVE ,Queens,NY
90252,83-15/27,37TH AVE,QUEENS,NY
90253,84-01/09,37TH AVE,QUEENS,NY
90254,84-01/09,37TH AVE ,Queens,NY
90255,84-11/23,37TH AVE,QUEENS,NY
90256,84-11/23,37TH AVE ,Queens,NY
90257,85-15/25,37TH AVE ,Queens,NY
90258,85-15/25,37TH AVE,QUEENS,NY
90259,86-15,37TH AVE,QUEENS,NY
90260,87-15,37TH AVE,QUEENS,NY
90261,88-01/13,37TH AVE ,Queens,NY
90262,88-01/13,37TH AVE,QUEENS,NY
90263,88-15/31,37TH AVE,QUEENS,NY
90264,88-15/31,37TH AVE ,Queens,NY
90265,89-01/15,37TH AVE,QUEENS,NY
90266,89-01/15,37TH AVE ,Queens,NY
90267,89-19/31,37TH AVE,QUEENS,NY
90268,89-19/31,37TH AVE ,Queens,NY
90269,90-01-15,37TH AVE ,Queens,NY
90270,90-01/15,37TH AVE,QUEENS,NY
90271,71-02/14,37TH AVE,QUEENS,NY
90272,72-10,37TH AVE,QUEENS,NY
90273,72-16-30,37TH AVE,QUEENS,NY
90274,73-02/12,37TH AVE,QUEENS,NY
90275,73-02/12,37TH AVE ,Queens,NY
90276,37-01,77TH ST,QUEENS,NY
90277,79-02-28,37TH AVE,QUEENS,NY
90278,79-02/28,37TH AVE ,Queens,NY
90279,80-02/14,37TH AVE ,Queens,NY
90280,80-02/14,37TH AVE,QUEENS,NY
90281,80-16/28,37TH AVE ,Queens,NY
90282,80-16/28,37TH AVE,QUEENS,NY
90283,81-02,37TH AVE,QUEENS,NY
90284,81-04,37TH AVE,QUEENS,NY
90285,81-06,37TH AVE,QUEENS,NY
90286,81-08,37TH AVE,QUEENS,NY
90287,81-10,37TH AVE,QUEENS,NY
90288,82-08/10,37TH AVE ,Queens,NY
90289,82-08/10,37TH AVE,QUEENS,NY
90290,82-12/20,37TH AVE ,Queens,NY
90291,82-12/20,37TH AVE,QUEENS,NY
90292,83-10-12,37TH AVE,QUEENS,NY
90293,83-10/12,37TH AVE ,Queens,NY
90294,83-14/22,37TH AVE ,Queens,NY
90295,83-14/22,37TH AVE,QUEENS,NY
90296,84-02/30,37TH AVE ,Queens,NY
90297,84-02/30,37TH AVE,QUEENS,NY
90298,85-02/30,37TH AVE ,Queens,NY
90299,85-02/30,37TH AVE,QUEENS,NY
90300,86-02/20,37TH AVE,QUEENS,NY
90301,86-02/20,37TH AVE ,Queens,NY
90302,87-10,37TH AVE,QUEENS,NY
90303,88-02/28,37TH AVE ,Queens,NY
90304,88-02/28,37TH AVE,QUEENS,NY
90305,89-02/24,37TH AVE ,Queens,NY
90306,89-02/24,37TH AVE,QUEENS,NY
90307,90-02/14,37TH AVE,QUEENS,NY
90308,90-02-14,37TH AVE ,Queens,NY
90309,73-01-07,37TH RD,QUEENS,NY
90310,77-01,ROOSEVELT AVE,QUEENS,NY
90311,77-03,ROOSEVELT AVE,QUEENS,NY
90312,77-05,ROOSEVELT AVE,QUEENS,NY
90313,78-01/09,ROOSEVELT AVE ,Queens,NY
90314,78-01/09,ROOSEVELT AVE,QUEENS,NY
90315,78-11/17,ROOSEVELT AVE ,Queens,NY
90316,78-11/17,ROOSEVELT AVE,QUEENS,NY
90317,79-01-17,ROOSEVELT AVE,QUEENS,NY
90318,79-01/17,ROOSEVELT AVE ,Queens,NY
90319,80-01/13,ROOSEVELT AVE,QUEENS,NY
90320,80-01/13,ROOSEVELT AVE ,Queens,NY
90321,80-15,ROOSEVELT AVE,QUEENS,NY
90322,81-01/09,ROOSEVELT AVE ,Queens,NY
90323,81-01/09,ROOSEVELT AVE,QUEENS,NY
90324,81-11,ROOSEVELT AVE,QUEENS,NY
90325,82-01/17,ROOSEVELT AVE,QUEENS,NY
90326,82-01/17,ROOSEVELT AVE ,Queens,NY
90327,83-01/25,ROOSEVELT AVE,QUEENS,NY
90328,84-01/29,ROOSEVELT AVE,QUEENS,NY
90329,85-01/15,ROOSEVELT AVE,QUEENS,NY
90330,85-01/15,ROOSEVELT AVE ,Queens,NY
90331,86-01/19,ROOSEVELT AVE,QUEENS,NY
90332,86-01/19,ROOSEVELT AVE ,Queens,NY
90333,87-01/09,ROOSEVELT AVE,QUEENS,NY
90334,87-01/09,ROOSEVELT AVE ,Queens,NY
90335,88-01/17,ROOSEVELT AVE,QUEENS,NY
90336,88-01/17,ROOSEVELT AVE ,Queens,NY
90337,89-01/05,ROOSEVELT AVE ,Queens,NY
90338,89-01/05,ROOSEVELT AVE,QUEENS,NY
90339,89-07/09,ROOSEVELT AVE,QUEENS,NY
90340,89-07/09,ROOSEVELT AVE ,Queens,NY
90341,89-11,ROOSEVELT AVE,QUEENS,NY
90342,90-01,ROOSEVELT AVE,QUEENS,NY
90343,70-35,BROADWAY,QUEENS,NY
90344,70-53,BROADWAY,QUEENS,NY
90345,72-09,BROADWAY,QUEENS,NY
90346,72-35,BROADWAY,QUEENS,NY
90347,33-11,70TH ST,QUEENS,NY
90348,33-13,70TH ST,QUEENS,NY
90349,33-15,70TH ST,QUEENS,NY
90350,33-17,70TH ST,QUEENS,NY
90351,33-19,70TH ST,QUEENS,NY
90352,33-21,70TH ST,QUEENS,NY
90353,33-23,70TH ST,QUEENS,NY
90354,33-25,70TH ST,QUEENS,NY
90355,33-27,70TH ST,QUEENS,NY
90356,33-29,70TH ST,QUEENS,NY
90357,33-31,70TH ST,QUEENS,NY
90358,33-33,70TH ST,QUEENS,NY
90359,33-35,70TH ST,QUEENS,NY
90360,33-37,70TH ST,QUEENS,NY
90361,33-39,70TH ST,QUEENS,NY
90362,33-41,70TH ST,QUEENS,NY
90363,33-43,70TH ST,QUEENS,NY
90364,33-45,70TH ST,QUEENS,NY
90365,33-47,70TH ST,QUEENS,NY
90366,35-45,70TH ST,QUEENS,NY
90367,35-49,70TH ST,QUEENS,NY
90368,35-53,70TH ST,QUEENS,NY
90369,35-57,70TH ST,QUEENS,NY
90370,33-12,71ST ST,QUEENS,NY
90371,33-14,71ST ST,QUEENS,NY
90372,33-18,71ST ST,QUEENS,NY
90373,33-20,71ST ST,QUEENS,NY
90374,33-22,71ST ST,QUEENS,NY
90375,33-26,71ST ST,QUEENS,NY
90376,33-28,71ST ST,QUEENS,NY
90377,33-30,71ST ST,QUEENS,NY
90378,33-32,71ST ST,QUEENS,NY
90379,33-34,71ST ST,QUEENS,NY
90380,33-36,71ST ST,QUEENS,NY
90381,33-38,71ST ST,QUEENS,NY
90382,33-40,71ST ST,QUEENS,NY
90383,33-42,71ST ST,QUEENS,NY
90384,33-44,71ST ST,QUEENS,NY
90385,33-48,71ST ST,QUEENS,NY
90386,34-14,71ST ST,QUEENS,NY
90387,34-16,71ST ST,QUEENS,NY
90388,34-18,71ST ST,QUEENS,NY
90389,34-20,71ST ST,QUEENS,NY
90390,34-22,71ST ST,QUEENS,NY
90391,34-24,71ST ST,QUEENS,NY
90392,34-26,71ST ST,QUEENS,NY
90393,34-28,71ST ST,QUEENS,NY
90394,34-30,71ST ST,QUEENS,NY
90395,34-32,71ST ST,QUEENS,NY
90396,34-34,71ST ST,QUEENS,NY
90397,34-36,71ST ST,QUEENS,NY
90398,34-38,71ST ST,QUEENS,NY
90399,34-40,71ST ST,QUEENS,NY
90400,34-42,71ST ST,QUEENS,NY
90401,34-44,71ST ST,QUEENS,NY
90402,34-46,71ST ST,QUEENS,NY
90403,34-48,71ST ST,QUEENS,NY
90404,34-50,71ST ST,QUEENS,NY
90405,35-46,71ST ST,QUEENS,NY
90406,35-48,71ST ST,QUEENS,NY
90407,35-52,71ST ST,QUEENS,NY
90408,35-54,71ST ST,QUEENS,NY
90409,35-58,71ST ST,QUEENS,NY
90410,33-11,71ST ST,QUEENS,NY
90411,33-13,71ST ST,QUEENS,NY
90412,33-15,71ST ST,QUEENS,NY
90413,33-17,71ST ST,QUEENS,NY
90414,33-19,71ST ST,QUEENS,NY
90415,33-21,71ST ST,QUEENS,NY
90416,33-23,71ST ST,QUEENS,NY
90417,33-25,71ST ST,QUEENS,NY
90418,33-29,71ST ST,QUEENS,NY
90419,33-31,71ST ST,QUEENS,NY
90420,33-33,71ST ST,QUEENS,NY
90421,33-35,71ST ST,QUEENS,NY
90422,33-37,71ST ST,QUEENS,NY
90423,33-39,71ST ST,QUEENS,NY
90424,33-41,71ST ST,QUEENS,NY
90425,33-43,71ST ST,QUEENS,NY
90426,33-47,71ST ST,QUEENS,NY
90427,34-11,71ST ST,QUEENS,NY
90428,34-15,71ST ST,QUEENS,NY
90429,34-17,71ST ST,QUEENS,NY
90430,34-19,71ST ST,QUEENS,NY
90431,34-21,71ST ST,QUEENS,NY
90432,34-23,71ST ST,QUEENS,NY
90433,34-25,71ST ST,QUEENS,NY
90434,34-27,71ST ST,QUEENS,NY
90435,34-31,71ST ST,QUEENS,NY
90436,34-33,71ST ST,QUEENS,NY
90437,34-35,71ST ST,QUEENS,NY
90438,34-37,71ST ST,QUEENS,NY
90439,34-39,71ST ST,QUEENS,NY
90440,34-41,71ST ST,QUEENS,NY
90441,34-43,71ST ST,QUEENS,NY
90442,34-45,71ST ST,QUEENS,NY
90443,34-47,71ST ST,QUEENS,NY
90444,34-49,71ST ST,QUEENS,NY
90445,34-51,71ST ST,QUEENS,NY
90446,35-35,71ST ST,QUEENS,NY
90447,35-37,71ST ST,QUEENS,NY
90448,35-39,71ST ST,QUEENS,NY
90449,35-41,71ST ST,QUEENS,NY
90450,35-45,71ST ST,QUEENS,NY
90451,35-47,71ST ST,QUEENS,NY
90452,35-51,71ST ST,QUEENS,NY
90453,35-53,71ST ST,QUEENS,NY
90454,35-57,71ST ST,QUEENS,NY
90455,33-12,72ND ST,QUEENS,NY
90456,33-14,72ND ST,QUEENS,NY
90457,33-18,72ND ST,QUEENS,NY
90458,33-20,72ND ST,QUEENS,NY
90459,33-22,72ND ST,QUEENS,NY
90460,33-24,72ND ST,QUEENS,NY
90461,33-26,72ND ST,QUEENS,NY
90462,33-28,72ND ST,QUEENS,NY
90463,33-30,72ND ST,QUEENS,NY
90464,33-32,72ND ST,QUEENS,NY
90465,33-34,72ND ST,QUEENS,NY
90466,33-36,72ND ST,QUEENS,NY
90467,33-38,72ND ST,QUEENS,NY
90468,33-40,72ND ST,QUEENS,NY
90469,33-42,72ND ST,QUEENS,NY
90470,33-46,72ND ST,QUEENS,NY
90471,33-48,72ND ST,QUEENS,NY
90472,34-14,72ND ST,QUEENS,NY
90473,34-16,72ND ST,QUEENS,NY
90474,34-18,72ND ST,QUEENS,NY
90475,34-22,72ND ST,QUEENS,NY
90476,34-24,72ND ST,QUEENS,NY
90477,34-26,72ND ST,QUEENS,NY
90478,34-28,72ND ST,QUEENS,NY
90479,34-30,72ND ST,QUEENS,NY
90480,34-32,72ND ST,QUEENS,NY
90481,34-34,72ND ST,QUEENS,NY
90482,34-36,72ND ST,QUEENS,NY
90483,34-38,72ND ST,QUEENS,NY
90484,34-40,72ND ST,QUEENS,NY
90485,34-42,72ND ST,QUEENS,NY
90486,34-44,72ND ST,QUEENS,NY
90487,34-48,72ND ST,QUEENS,NY
90488,34-46,72ND ST,QUEENS,NY
90489,34-50,72ND ST,QUEENS,NY
90490,34-52,72ND ST,QUEENS,NY
90491,35-14,72ND ST,QUEENS,NY
90492,35-24,72ND ST,QUEENS,NY
90493,35-34,72ND ST,QUEENS,NY
90494,35-36,72ND ST,QUEENS,NY
90495,35-38,72ND ST,QUEENS,NY
90496,35-42,72ND ST,QUEENS,NY
90497,35-44,72ND ST,QUEENS,NY
90498,35-48,72ND ST,QUEENS,NY
90499,35-50,72ND ST,QUEENS,NY
90500,35-54,72ND ST,QUEENS,NY
90501,35-56,72ND ST,QUEENS,NY
90502,35-58,72ND ST,QUEENS,NY
90503,37-14,72ND ST,QUEENS,NY
90504,37-18,72ND ST,QUEENS,NY
90505,33-11,72ND ST,QUEENS,NY
90506,33-17,72ND ST,QUEENS,NY
90507,33-19,72ND ST,QUEENS,NY
90508,33-21,72ND ST,QUEENS,NY
90509,33-23,72ND ST,QUEENS,NY
90510,33-25,72ND ST,QUEENS,NY
90511,33-27,72ND ST,QUEENS,NY
90512,33-29,72ND ST,QUEENS,NY
90513,33-31,72ND ST,QUEENS,NY
90514,33-33,72ND ST,QUEENS,NY
90515,33-37,72ND ST,QUEENS,NY
90516,33-39,72ND ST,QUEENS,NY
90517,33-41,72ND ST,QUEENS,NY
90518,33-43,72ND ST,QUEENS,NY
90519,33-45,72ND ST,QUEENS,NY
90520,34-13,72ND ST,QUEENS,NY
90521,34-15,72ND ST,QUEENS,NY
90522,34-17,72ND ST,QUEENS,NY
90523,34-19,72ND ST,QUEENS,NY
90524,34-21,72ND ST,QUEENS,NY
90525,34-23,72ND ST,QUEENS,NY
90526,34-25,72ND ST,QUEENS,NY
90527,34-27,72ND ST,QUEENS,NY
90528,34-29,72ND ST,QUEENS,NY
90529,34-31,72ND ST,QUEENS,NY
90530,34-33,72ND ST,QUEENS,NY
90531,34-35,72ND ST,QUEENS,NY
90532,34-37,72ND ST,QUEENS,NY
90533,34-39,72ND ST,QUEENS,NY
90534,34-41,72ND ST,QUEENS,NY
90535,34-43,72ND ST,QUEENS,NY
90536,34-45,72ND ST,QUEENS,NY
90537,34-47,72ND ST,QUEENS,NY
90538,34-49,72ND ST,QUEENS,NY
90539,35-05,72ND ST,QUEENS,NY
90540,35-11-15,72ND ST,QUEENS,NY
90541,35-19/21,72ND ST,QUEENS,NY
90542,35-23/27,72ND ST,QUEENS,NY
90543,35-29/33,72ND ST,QUEENS,NY
90544,35-35,72ND ST,QUEENS,NY
90545,35-37,72ND ST,QUEENS,NY
90546,35-41,72ND ST,QUEENS,NY
90547,35-43,72ND ST,QUEENS,NY
90548,35-47,72ND ST,QUEENS,NY
90549,35-49,72ND ST,QUEENS,NY
90550,35-53,72ND ST,QUEENS,NY
90551,35-57,72ND ST,QUEENS,NY
90552,37-15,72ND ST,QUEENS,NY
90553,33-18,73RD ST,QUEENS,NY
90554,33-20,73RD ST,QUEENS,NY
90555,33-22,73RD ST,QUEENS,NY
90556,33-24,73RD ST,QUEENS,NY
90557,33-26,73RD ST,QUEENS,NY
90558,33-28,73RD ST,QUEENS,NY
90559,33-30,73RD ST,QUEENS,NY
90560,33-32,73RD ST,QUEENS,NY
90561,33-34,73RD ST,QUEENS,NY
90562,33-36,73RD ST,QUEENS,NY
90563,33-38,73RD ST,QUEENS,NY
90564,33-40,73RD ST,QUEENS,NY
90565,33-42,73RD ST,QUEENS,NY
90566,33-46,73RD ST,QUEENS,NY
90567,34-14,73RD ST,QUEENS,NY
90568,34-16,73RD ST,QUEENS,NY
90569,34-18,73RD ST,QUEENS,NY
90570,34-20,73RD ST,QUEENS,NY
90571,34-22,73RD ST,QUEENS,NY
90572,34-24,73RD ST,QUEENS,NY
90573,34-26,73RD ST,QUEENS,NY
90574,34-28,73RD ST,QUEENS,NY
90575,34-30,73RD ST,QUEENS,NY
90576,34-32,73RD ST,QUEENS,NY
90577,34-34,73RD ST,QUEENS,NY
90578,34-36,73RD ST,QUEENS,NY
90579,34-38,73RD ST,QUEENS,NY
90580,34-40,73RD ST,QUEENS,NY
90581,34-42,73RD ST,QUEENS,NY
90582,34-44,73RD ST,QUEENS,NY
90583,34-46,73RD ST,QUEENS,NY
90584,34-48,73RD ST,QUEENS,NY
90585,34-50,73RD ST,QUEENS,NY
90586,34-52,73RD ST,QUEENS,NY
90587,34-56,73RD ST,QUEENS,NY
90588,35-06,73RD ST,QUEENS,NY
90589,35-20,73RD ST,QUEENS,NY
90590,35-30,73RD ST,QUEENS,NY
90591,35-42,73RD ST,QUEENS,NY
90592,35-48,73RD ST,QUEENS,NY
90593,35-48B,73RD ST,QUEENS,NY
90594,35-50,73RD ST,QUEENS,NY
90595,35-50D,73RD ST,QUEENS,NY
90596,35-52,73RD ST,QUEENS,NY
90597,35-52F,73RD ST,QUEENS,NY
90598,35-54,73RD ST,QUEENS,NY
90599,35-60,73RD ST,QUEENS,NY
90600,37-14,73RD ST,QUEENS,NY
90601,37-18,73RD ST ,Queens,NY
90602,37-18,73RD ST,QUEENS,NY
90603,37-22,73RD ST,QUEENS,NY
90604,37-38,73RD ST,QUEENS,NY
90605,37-38,73RD ST ,Queens,NY
90606,37-42,73RD ST,QUEENS,NY
90607,37-42,73RD ST ,Queens,NY
90608,33-11,73RD ST,QUEENS,NY
90609,33-13,73RD ST,QUEENS,NY
90610,33-15,73RD ST,QUEENS,NY
90611,33-17,73RD ST,QUEENS,NY
90612,33-19,73RD ST,QUEENS,NY
90613,33-21,73RD ST,QUEENS,NY
90614,33-23,73RD ST,QUEENS,NY
90615,33-25,73RD ST,QUEENS,NY
90616,33-29,73RD ST,QUEENS,NY
90617,33-31,73RD ST,QUEENS,NY
90618,33-33,73RD ST,QUEENS,NY
90619,33-35,73RD ST,QUEENS,NY
90620,33-37,73RD ST,QUEENS,NY
90621,33-39,73RD ST,QUEENS,NY
90622,33-41,73RD ST,QUEENS,NY
90623,33-45,73RD ST,QUEENS,NY
90624,34-57,73RD ST,QUEENS,NY
90625,35-55,73RD ST,QUEENS,NY
90626,37-31,73RD ST,QUEENS,NY
90627,33-12,74TH ST,QUEENS,NY
90628,33-14,74TH ST,QUEENS,NY
90629,33-16,74TH ST,QUEENS,NY
90630,33-18,74TH ST,QUEENS,NY
90631,33-20,74TH ST,QUEENS,NY
90632,33-22,74TH ST,QUEENS,NY
90633,33-24,74TH ST,QUEENS,NY
90634,33-26,74TH ST,QUEENS,NY
90635,33-28,74TH ST,QUEENS,NY
90636,33-30,74TH ST,QUEENS,NY
90637,33-32,74TH ST,QUEENS,NY
90638,33-34,74TH ST,QUEENS,NY
90639,33-36,74TH ST,QUEENS,NY
90640,33-38,74TH ST,QUEENS,NY
90641,33-40,74TH ST,QUEENS,NY
90642,33-42,74TH ST,QUEENS,NY
90643,33-44,74TH ST,QUEENS,NY
90644,33-46,74TH ST,QUEENS,NY
90645,33-50,74TH ST,QUEENS,NY
90646,33-54,74TH ST,QUEENS,NY
90647,34-20,74TH ST,QUEENS,NY
90648,34-20,74TH ST ,Queens,NY
90649,34-32,74TH ST,QUEENS,NY
90650,34-32,74TH ST ,Queens,NY
90651,34-34,74TH ST,QUEENS,NY
90652,34-34,74TH ST ,Queens,NY
90653,34-36,74TH ST ,Queens,NY
90654,34-36,74TH ST,QUEENS,NY
90655,34-38,74TH ST,QUEENS,NY
90656,34-40,74TH ST,QUEENS,NY
90657,34-42,74TH ST ,Queens,NY
90658,34-42,74TH ST,QUEENS,NY
90659,34-46,74TH ST,QUEENS,NY
90660,34-46,74TH ST ,Queens,NY
