alleyCrossStreetsFlag,assemblyDistrict,bbl,bblBoroughCode,bblTaxBlock,bblTaxLot,bikeLane,boardOfElectionsPreferredLgc,boePreferredStreetName,boePreferredstreetCode,boroughCode1In,buildingIdentificationNumber,businessImprovementDistrict,censusBlock2000,censusBlock2010,censusBlockSuffix2000,censusTract1990,censusTract2000,censusTract2010,cityCouncilDistrict,civilCourtDistrict,coincidentSegmentCount,communityDistrict,communityDistrictBoroughCode,communityDistrictNumber,communitySchoolDistrict,condominiumBillingBbl,condominiumFlag,congressionalDistrict,cooperativeIdNumber,cornerCode,crossStreetNamesFlagIn,curveFlag,dcpCommercialStudyArea,dcpPreferredLgc,dofCondominiumIdentificationNumber,dotStreetLightContractorArea,dynamicBlock,electionDistrict,fireBattalion,fireCompanyNumber,fireCompanyType,fireDivision,firstBoroughName,firstStreetCode,firstStreetNameNormalized,fromLionNodeId,fromPreferredLgcsFirstSetOf5,genericId,geosupportFunctionCode,geosupportReturnCode,geosupportReturnCode2,gi5DigitStreetCode1,gi5DigitStreetCode2,gi5DigitStreetCode3,gi5DigitStreetCode4,gi5DigitStreetCode5,gi5DigitStreetCode6,gi5DigitStreetCode7,gi5DigitStreetCode8,giBoroughCode1,giBoroughCode2,giBoroughCode3,giBoroughCode4,giBoroughCode5,giBoroughCode6,giBoroughCode7,giBoroughCode8,giBuildingIdentificationNumber1,giBuildingIdentificationNumber2,giBuildingIdentificationNumber3,giBuildingIdentificationNumber4,giBuildingIdentificationNumber5,giBuildingIdentificationNumber6,giBuildingIdentificationNumber7,giBuildingIdentificationNumber8,giDcpPreferredLgc1,giDcpPreferredLgc2,giDcpPreferredLgc3,giDcpPreferredLgc4,giDcpPreferredLgc5,giDcpPreferredLgc6,giDcpPreferredLgc7,giDcpPreferredLgc8,giGeographicIdentifier1,giGeographicIdentifier2,giGeographicIdentifier3,giGeographicIdentifier4,giGeographicIdentifier5,giGeographicIdentifier6,giGeographicIdentifier7,giGeographicIdentifier8,giHighHouseNumber1,giHighHouseNumber2,giHighHouseNumber3,giHighHouseNumber4,giHighHouseNumber5,giHighHouseNumber6,giHighHouseNumber7,giHighHouseNumber8,giLowHouseNumber1,giLowHouseNumber2,giLowHouseNumber3,giLowHouseNumber4,giLowHouseNumber5,giLowHouseNumber6,giLowHouseNumber7,giLowHouseNumber8,giSideOfStreetIndicator1,giSideOfStreetIndicator2,giSideOfStreetIndicator3,giSideOfStreetIndicator4,giSideOfStreetIndicator5,giSideOfStreetIndicator6,giSideOfStreetIndicator7,giSideOfStreetIndicator8,giStreetCode1,giStreetCode2,giStreetCode3,giStreetCode4,giStreetCode5,giStreetCode6,giStreetCode7,giStreetCode8,giStreetName1,giStreetName2,giStreetName3,giStreetName4,giStreetName5,giStreetName6,giStreetName7,giStreetName8,healthArea,healthCenterDistrict,highBblOfThisBuildingsCondominiumUnits,highCrossStreetB5SC1,highCrossStreetB5SC2,highCrossStreetB5SC3,highCrossStreetCode1,highCrossStreetCode2,highCrossStreetCode3,highCrossStreetName1,highCrossStreetName2,highCrossStreetName3,highHouseNumberOfBlockfaceSortFormat,houseNumber,houseNumberIn,houseNumberSortFormat,hurricaneEvacuationZone,individualSegmentLength,instructionalRegion,interimAssistanceEligibilityIndicator,interiorLotFlag,internalLabelXCoordinate,internalLabelYCoordinate,latitude,latitudeInternalLabel,legacySegmentId,lionBoroughCode,lionBoroughCodeForVanityAddress,lionFaceCode,lionFaceCodeForVanityAddress,lionKey,lionKeyForVanityAddress,lionSequenceNumber,lionSequenceNumberForVanityAddress,listOf4Lgcs,longitude,longitudeInternalLabel,lowBblOfThisBuildingsCondominiumUnits,lowCrossStreetB5SC1,lowCrossStreetB5SC2,lowCrossStreetB5SC3,lowCrossStreetCode1,lowCrossStreetCode2,lowCrossStreetCode3,lowCrossStreetName1,lowCrossStreetName2,lowCrossStreetName3,lowHouseNumberOfBlockfaceSortFormat,lowHouseNumberOfDefiningAddressRange,message,message2,noCrossStreetCalculationFlag,nta,ntaName,numberOfCrossStreetB5SCsHighAddressEnd,numberOfCrossStreetB5SCsLowAddressEnd,numberOfCrossStreetsHighAddressEnd,numberOfCrossStreetsLowAddressEnd,numberOfEntriesInListOfGeographicIdentifiers,numberOfExistingStructuresOnLot,numberOfStreetCodesAndNamesInList,numberOfStreetFrontagesOfLot,physicalId,policePatrolBoroughCommand,policePrecinct,radiusOfCircle,reasonCode,reasonCode1a,reasonCode1e,reasonCode2,returnCode1a,returnCode1e,roadwayType,rpadBuildingClassificationCode,rpadSelfCheckCodeForBbl,sanbornBoroughCode,sanbornPageNumber,sanbornPageNumberSuffix,sanbornVolumeNumber,sanitationCollectionSchedulingSectionAndSubsection,sanitationDistrict,sanitationOrganicsCollectionSchedule,sanitationRecyclingCollectionSchedule,sanitationRegularCollectionSchedule,sanitationSnowPriorityCode,secantLocationRelatedToCurve,segmentAzimuth,segmentIdentifier,segmentLengthInFeet,segmentOrientation,segmentTypeCode,selfCheckCodeOfBillingBbl,sideOfStreetIndicator,sideOfStreetOfVanityAddress,specialAddressGeneratedRecordFlag,splitLowHouseNumber,stateSenatorialDistrict,streetCode1,streetCode10,streetCode2,streetCode3,streetCode4,streetCode5,streetCode6,streetCode7,streetCode8,streetCode9,streetName1,streetName10,streetName1In,streetName2,streetName3,streetName4,streetName5,streetName6,streetName7,streetName8,streetName9,streetStatus,taxMapNumberSectionAndVolume,toLionNodeId,toPreferredLgcsFirstSetOf5,trafficDirection,underlyingStreetCode,uspsPreferredCityName,vacantLotFlag,workAreaFormatIndicatorIn,xCoordinate,xCoordinateHighAddressEnd,xCoordinateLowAddressEnd,xCoordinateOfCenterofCurvature,yCoordinate,yCoordinateHighAddressEnd,yCoordinateLowAddressEnd,yCoordinateOfCenterofCurvature,zipCode
X,34,4012590054,4,01259,0054,,1,72 STREET,41534001,4,4028919,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028919,,,,,,,,01,,,,,,,,,,,,,,,,34-35,,,,,,,,34-35,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590054,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-35,34-35,100034035AA,X,00389,QN,E,,1013661,0213150,40.75168907870177,40.7516750992003,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89412622411787,-73.89384833391281,4012590054,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034035AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,8,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013584,1013626,1013527,0000000,0213155,0212835,0213544,0000000,11372
X,34,4012590053,4,01259,0053,,1,72 STREET,41534001,4,4028918,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028918,,,,,,,,01,,,,,,,,,,,,,,,,34-37,,,,,,,,34-37,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590053,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-37,34-37,100034037AA,X,00389,QN,E,,1013664,0213129,40.751647900891506,40.75161744957616,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89411907106124,-73.89383759802982,4012590053,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034037AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,B3,0,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013586,1013626,1013527,0000000,0213140,0212835,0213544,0000000,11372
X,34,4012590052,4,01259,0052,,1,72 STREET,41534001,4,4028917,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028917,,,,,,,,01,,,,,,,,,,,,,,,,34-39,,,,,,,,34-39,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590052,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-39,34-39,100034039AA,X,00389,QN,E,,1013667,0213109,40.75160672308052,40.75156254469557,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89411191801345,-73.89382685779081,4012590052,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034039AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,2,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013588,1013626,1013527,0000000,0213125,0212835,0213544,0000000,11372
X,34,4012590051,4,01259,0051,,1,72 STREET,41534001,4,4028916,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028916,,,,,,,,01,,,,,,,,,,,,,,,,34-41,,,,,,,,34-41,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590051,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-41,34-41,100034041AA,X,00389,QN,E,,1013670,0213090,40.751565545268875,40.75151038455862,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89410476497453,-73.89381611319445,4012590051,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034041AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,4,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013590,1013626,1013527,0000000,0213110,0212835,0213544,0000000,11372
X,34,4012590050,4,01259,0050,,1,72 STREET,41534001,4,4028915,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028915,,,,,,,,01,,,,,,,,,,,,,,,,34-43,,,,,,,,34-43,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590050,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-43,34-43,100034043AA,X,00389,QN,E,,1013672,0213070,40.75152436413814,40.75145548300259,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89409400270563,-73.89380898222547,4012590050,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034043AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,6,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013593,1013626,1013527,0000000,0213095,0212835,0213544,0000000,11372
X,34,4012590049,4,01259,0049,,1,72 STREET,41534001,4,4028914,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028914,,,,,,,,01,,,,,,,,,,,,,,,,34-45,,,,,,,,34-45,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590049,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-45,34-45,100034045AA,X,00389,QN,E,,1013675,0213050,40.751483186324876,40.75140057811804,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89408684968662,-73.89379824203615,4012590049,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034045AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,8,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013595,1013626,1013527,0000000,0213080,0212835,0213544,0000000,11372
X,34,4012590048,4,01259,0048,,1,72 STREET,41534001,4,4028913,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028913,,,,,,,,01,,,,,,,,,,,,,,,,34-47,,,,,,,,34-47,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590048,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-47,34-47,100034047AA,X,00389,QN,E,,1013678,0213031,40.75144200851093,40.751348417977205,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89407969667646,-73.89378749748832,4012590048,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034047AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,0,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013597,1013626,1013527,0000000,0213065,0212835,0213544,0000000,11372
X,34,4012590047,4,01259,0047,,1,72 STREET,41534001,4,4028912,,2000,2000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,210,028,49,307,E,14,QUEENS,41534001010,72 STREET,0046483,02,0063677,1B,00,01,15340,,,,,,,,4,,,,,,,,4028912,,,,,,,,01,,,,,,,,,,,,,,,,34-49,,,,,,,,34-49,,,,,,,,L,,,,,,,,41534001,,,,,,,,72 STREET,,,,,,,,1022,42,4012590047,408590,,,40859001,,,35 AVENUE,,,100034099AA,34-49,34-49,100034049AA,X,00389,QN,E,,1013681,0213010,40.7514008306963,40.751290768344646,0130475,4,4,5838,5838,4583802025,4583802025,02025,02025,01,-73.89407254367512,-73.89377676171067,4012590047,408440,,,40844002,,,34 AVENUE,,,100034001AA,100034049AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0073243,6,115,,,W,,W,01,00,1,A5,2,4,020,,10,2C,403,,ETH,MTH,S,,277,0130475,00158,S,U,,L,L,,100034013AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046477,01,A,41534001,JACKSON HEIGHTS,,C,1013599,1013626,1013527,0000000,0213050,0212835,0213544,0000000,11372
,39,4012720001,4,01272,0001,,1,72 STREET,41534001,4,4029528,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0,SE,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,08590,,,,,,,4,4,,,,,,,4029528,4029528,,,,,,,01,01,,,,,,,,,,,,,,,35-05,72-02,,,,,,,35-05,72-02,,,,,,,L,R,,,,,,,41534001,40859001,,,,,,,72 STREET,35 AVENUE,,,,,,,1022,42,4012720001,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-05,35-05,100035005AA,X,,QN,E,,1013717,0212753,40.75050040144282,40.7505852489118,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390795277471,-73.89364795573755,4012720001,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035005AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0001,,02,0073247,6,115,,,W,,W,01,00,1,D4,2,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013645,1013729,1013626,0000000,0212722,0212092,0212835,0000000,11372
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,QUEENS,41534001010,72 STREET,,,,1B,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDRESS NBR 35-11-15  HAS TOO MANY DASHES.,ADDRESS NBR 35-11-15  HAS TOO MANY DASHES.,,,,,,,,,,,,,,,,3,3,3,3,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72ND ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,QUEENS,41534001010,72 STREET,,,,1B,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDRESS NBR 35-19/21  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,ADDRESS NBR 35-19/21  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,,,,,,,,,,,,,,,,1,1,1,1,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72ND ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,QUEENS,41534001010,72 STREET,,,,1B,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-23/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDRESS NBR 35-23/27  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,ADDRESS NBR 35-23/27  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,,,,,,,,,,,,,,,,1,1,1,1,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72ND ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,QUEENS,41534001010,72 STREET,,,,1B,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-29/33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDRESS NBR 35-29/33  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,ADDRESS NBR 35-29/33  CONTAINS AN INVALID CHARACTER(/) IN POSITION 6.,,,,,,,,,,,,,,,,1,1,1,1,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72ND ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,39,4012720059,4,01272,0059,,1,72 STREET,41534001,4,4029547,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,15340,,,,,,,4,4,,,,,,,4029547,4519706,,,,,,,01,01,,,,,,,,B,,,,,,,35-35,,,,,,,,35-35,,,,,,,,L,,,,,,,,41534001,41534001,,,,,,,72 STREET,72 STREET,,,,,,,1022,42,4012720059,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-35,35-35,100035035AA,X,,QN,E,,1013758,0212461,40.750461968357435,40.7497836464797,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390079560914,-73.89350126032177,4012720059,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035035AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0073247,6,115,,,W,,W,01,00,1,C2,0,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013647,1013729,1013626,0000000,0212708,0212092,0212835,0000000,11372
,39,4012720057,4,01272,0057,,1,72 STREET,41534001,4,4029546,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,15340,,,,,,,4,4,,,,,,,4029546,4469814,,,,,,,01,01,,,,,,,,,,,,,,,35-37,35-37 GARAGE,,,,,,,35-37,35-37 GARAGE,,,,,,,L,L,,,,,,,41534001,41534001,,,,,,,72 STREET,72 STREET,,,,,,,1022,42,4012720057,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-37,35-37,100035037AA,X,,QN,E,,1013762,0212431,40.75045922361194,40.74970129075828,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390079998064,-73.89348695539917,4012720057,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035037AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0073247,6,115,,,W,,W,01,00,1,B1,4,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013647,1013729,1013626,0000000,0212707,0212092,0212835,0000000,11372
,39,4012720056,4,01272,0056,,1,72 STREET,41534001,4,4029545,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,15340,,,,,,,4,4,,,,,,,4029545,4469813,,,,,,,01,01,,,,,,,,,,,,,,,35-41,35-41 GARAGE,,,,,,,35-41,35-41 GARAGE,,,,,,,L,L,,,,,,,41534001,41534001,,,,,,,72 STREET,72 STREET,,,,,,,1022,42,4012720056,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-41,35-41,100035041AA,X,,QN,E,,1013766,0212402,40.750453734121,40.74962167977992,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390080872364,-73.89347264612285,4012720056,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035041AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0073247,6,115,,,W,,W,01,00,1,B1,6,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013647,1013729,1013626,0000000,0212705,0212092,0212835,0000000,11372
,39,4012720054,4,01272,0054,,1,72 STREET,41534001,4,4029544,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,15340,,,,,,,4,4,,,,,,,4029544,4469812,,,,,,,01,01,,,,,,,,,,,,,,,35-43,35-43 GARAGE,,,,,,,35-43,35-43 GARAGE,,,,,,,L,L,,,,,,,41534001,41534001,,,,,,,72 STREET,72 STREET,,,,,,,1022,42,4012720054,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-43,35-43,100035043AA,X,,QN,E,,1013771,0212372,40.75045098937549,40.74953932071461,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390081309514,-73.89345473213919,4012720054,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035043AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0073247,6,115,,,W,,W,01,00,1,B1,1,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013647,1013729,1013626,0000000,0212704,0212092,0212835,0000000,11372
,39,4012720053,4,01272,0053,,1,72 STREET,41534001,4,4029543,,3000,3000,, 291  , 291  , 291  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,301,051,49,307,E,14,QUEENS,41534001010,72 STREET,0046477,01,0063680,1B,00,01,15340,15340,,,,,,,4,4,,,,,,,4029543,4469811,,,,,,,01,01,,,,,,,,,,,,,,,35-47,35-47 GARAGE,,,,,,,35-47,35-47 GARAGE,,,,,,,L,L,,,,,,,41534001,41534001,,,,,,,72 STREET,72 STREET,,,,,,,1022,42,4012720053,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-47,35-47,100035047AA,X,,QN,E,,1013775,0212343,40.750445499884506,40.749459709730395,0075942,4,4,5838,5838,4583802040,4583802040,02040,02040,01,-73.89390082183814,-73.89344042293618,4012720053,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035047AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0073247,6,115,,,W,,W,01,00,1,C0,3,4,009,,10,2C,403,,ETH,MTH,S,,277,0075942,00750,S,U,,L,L,,100035001AA,13,,,,,,,,,,,,,"72ND ST,",,,,,,,,,2,40804,0046478,02,A,41534001,JACKSON HEIGHTS,,C,1013647,1013729,1013626,0000000,0212702,0212092,0212835,0000000,11372
