"GRC","ReasonCode","BadRecordId","uid","hn","street","boro","state"
"99"," ",2662,90883,"33-26","170TH ST","QUEENS","NY"
"99"," ",2663,90884,"33-27","170TH ST","QUEENS","NY"
"99"," ",2664,90885,"33-30","170TH ST","QUEENS","NY"
"99"," ",2665,90886,"33-31","170TH ST","QUEENS","NY"
"99"," ",2666,90887,"33-34","170TH ST","QUEENS","NY"
"99"," ",2667,90888,"33-35","170TH ST","QUEENS","NY"
"99"," ",2668,90889,"33-39","170TH ST","QUEENS","NY"
"99"," ",2669,90890,"33-40","170TH ST","QUEENS","NY"
"99"," ",2670,90891,"33-44","170TH ST","QUEENS","NY"
"99"," ",2671,90892,"33-43/45","170TH ST","QUEENS","NY"
"99"," ",2672,90893,"33-48","170TH ST","QUEENS","NY"
"99"," ",2673,90894,"33-49","170TH ST","QUEENS","NY"
"99"," ",2674,90895,"33-52","170TH ST","QUEENS","NY"
"99"," ",2675,90896,"33-53","170TH ST","QUEENS","NY"
"99"," ",2676,90897,"33-56","170TH ST","QUEENS","NY"
"99"," ",2677,90898,"33-57","170TH ST","QUEENS","NY"
"99"," ",2678,90899,"33-60","170TH ST","QUEENS","NY"
"99"," ",2679,90900,"33-61","170TH ST","QUEENS","NY"
"99"," ",2680,90901,"33-64","170TH ST","QUEENS","NY"
"99"," ",2681,90902,"33-65","170TH ST","QUEENS","NY"
"99"," ",2682,90903,"33-68","170TH ST","QUEENS","NY"
"99"," ",2683,90904,"33-69","170TH ST","QUEENS","NY"
"99"," ",2684,90905,"33-72","170TH ST","QUEENS","NY"
"99"," ",2685,90906,"33-73","170TH ST","QUEENS","NY"
"99"," ",2686,90907,"33-78","170TH ST","QUEENS","NY"
"99"," ",2687,90908,"33-81","170TH ST","QUEENS","NY"
"99"," ",2688,90909,"33-82","170TH ST","QUEENS","NY"
"99"," ",2689,90910,"35-03","170TH ST","QUEENS","NY"
"99"," ",2690,90911,"35-06","170TH ST","QUEENS","NY"
"99"," ",2691,90912,"35-11","170TH ST","QUEENS","NY"
"99"," ",2692,90913,"35-15","170TH ST","QUEENS","NY"
"99"," ",2693,90914,"35-18","170TH ST","QUEENS","NY"
"99"," ",2694,90915,"35-19","170TH ST","QUEENS","NY"
"99"," ",2695,90916,"35-24","170TH ST","QUEENS","NY"
"99"," ",2696,90917,"35-25","170TH ST","QUEENS","NY"
"99"," ",2697,90918,"35-29","170TH ST","QUEENS","NY"
"99"," ",2698,90919,"35-30","170TH ST","QUEENS","NY"
"99"," ",2699,90920,"35-33","170TH ST","QUEENS","NY"
"99"," ",2700,90921,"35-34","170TH ST","QUEENS","NY"
"99"," ",2701,90922,"35-37","170TH ST","QUEENS","NY"
"99"," ",2702,90923,"35-40","170TH ST","QUEENS","NY"
"99"," ",2703,90924,"35-44","170TH ST","QUEENS","NY"
"99"," ",2704,90925,"35-45","170TH ST","QUEENS","NY"
"99"," ",2705,90926,"35-47","170TH ST","QUEENS","NY"
"99"," ",2706,90927,"35-50","170TH ST","QUEENS","NY"
"99"," ",2707,90928,"35-54","170TH ST","QUEENS","NY"
"99"," ",2708,90929,"35-60","170TH ST","QUEENS","NY"
"99"," ",2709,90930,"35-62","170TH ST","QUEENS","NY"
"99"," ",2710,90931,"32-01/09","171ST ST","QUEENS","NY"
"99"," ",2711,90932,"32-04","171ST ST","QUEENS","NY"
"99"," ",2712,90933,"32-11","171ST ST","QUEENS","NY"
"99"," ",2713,90934,"32-28","171ST ST","QUEENS","NY"
"99"," ",2714,90935,"32-30","171ST ST","QUEENS","NY"
"99"," ",2715,90936,"32-32","171ST ST","QUEENS","NY"
"99"," ",2716,90937,"33-16","171ST ST","QUEENS","NY"
"99"," ",2717,90938,"33-18","171ST ST","QUEENS","NY"
"99"," ",2718,90939,"33-20","171ST ST","QUEENS","NY"
"99"," ",2719,90940,"33-24","171ST ST","QUEENS","NY"
"99"," ",2720,90941,"33-25","171ST ST","QUEENS","NY"
"99"," ",2721,90942,"33-28","171ST ST","QUEENS","NY"
"99"," ",2722,90943,"33-29","171ST ST","QUEENS","NY"
"99"," ",2723,90944,"33-33","171ST ST","QUEENS","NY"
"99"," ",2724,90945,"33-34","171ST ST","QUEENS","NY"
"99"," ",2725,90946,"33-37","171ST ST","QUEENS","NY"
"99"," ",2726,90947,"33-38","171ST ST","QUEENS","NY"
"99"," ",2727,90948,"33-42","171ST ST","QUEENS","NY"
"99"," ",2728,90949,"33-44","171ST ST","QUEENS","NY"
"99"," ",2729,90950,"33-48","171ST ST","QUEENS","NY"
"99"," ",2730,90951,"33-54","171ST ST","QUEENS","NY"
"99"," ",2731,90952,"33-58","171ST ST","QUEENS","NY"
"99"," ",2732,90953,"33-60","171ST ST","QUEENS","NY"
"99"," ",2733,90954,"33-64","171ST ST","QUEENS","NY"
"99"," ",2734,90955,"33-66","171ST ST","QUEENS","NY"
"99"," ",2735,90956,"33-74","171ST ST","QUEENS","NY"
"99"," ",2736,90957,"33-82","171ST ST","QUEENS","NY"
"99"," ",2737,90958,"35-01","171ST ST","QUEENS","NY"
"99"," ",2738,90959,"35-04","171ST ST","QUEENS","NY"
"99"," ",2739,90960,"35-11","171ST ST","QUEENS","NY"
"99"," ",2740,90961,"35-12","171ST ST","QUEENS","NY"
"99"," ",2741,90962,"35-15","171ST ST","QUEENS","NY"
"99"," ",2742,90963,"35-16","171ST ST","QUEENS","NY"
"99"," ",2743,90964,"35-19","171ST ST","QUEENS","NY"
"99"," ",2744,90965,"35-20","171ST ST","QUEENS","NY"
"99"," ",2745,90966,"35-23","171ST ST","QUEENS","NY"
"99"," ",2746,90967,"35-24","171ST ST","QUEENS","NY"
"99"," ",2747,90968,"35-27","171ST ST","QUEENS","NY"
"99"," ",2748,90969,"35-32","171ST ST","QUEENS","NY"
"99"," ",2749,90970,"35-33","171ST ST","QUEENS","NY"
"99"," ",2750,90971,"35-38","171ST ST","QUEENS","NY"
"99"," ",2751,90972,"35-39","171ST ST","QUEENS","NY"
"99"," ",2752,90973,"35-42","171ST ST","QUEENS","NY"
"99"," ",2753,90974,"35-45","171ST ST","QUEENS","NY"
"99"," ",2754,90975,"35-51","171ST ST","QUEENS","NY"
"99"," ",2755,90976,"29-56","172ND ST","QUEENS","NY"
"99"," ",2756,90977,"32-04","172ND ST","QUEENS","NY"
"99"," ",2757,90978,"32-08","172ND ST","QUEENS","NY"
"99"," ",2758,90979,"32-13","172ND ST","QUEENS","NY"
"99"," ",2759,90980,"32-14","172ND ST","QUEENS","NY"
"99"," ",2760,90981,"32-17","172ND ST","QUEENS","NY"
"99"," ",2761,90982,"32-18","172ND ST","QUEENS","NY"
"99"," ",2762,90983,"32-21","172ND ST","QUEENS","NY"
"99"," ",2763,90984,"32-22","172ND ST","QUEENS","NY"
"99"," ",2764,90985,"32-26","172ND ST","QUEENS","NY"
"99"," ",2765,90986,"32-30","172ND ST","QUEENS","NY"
"99"," ",2766,90987,"33-06","172ND ST","QUEENS","NY"
"99"," ",2767,90988,"33-14","172ND ST","QUEENS","NY"
"99"," ",2768,90989,"33-15","172ND ST","QUEENS","NY"
"99"," ",2769,90990,"33-17","172ND ST","QUEENS","NY"
"99"," ",2770,90991,"33-18","172ND ST","QUEENS","NY"
"99"," ",2771,90992,"33-19","172ND ST","QUEENS","NY"
"99"," ",2772,90993,"33-21","172ND ST","QUEENS","NY"
"99"," ",2773,90994,"33-22","172ND ST","QUEENS","NY"
"99"," ",2774,90995,"33-23","172ND ST","QUEENS","NY"
"99"," ",2775,90996,"33-26","172ND ST","QUEENS","NY"
"99"," ",2776,90997,"33-28","172ND ST","QUEENS","NY"
"99"," ",2777,90998,"33-33","172ND ST","QUEENS","NY"
"99"," ",2778,90999,"33-34","172ND ST","QUEENS","NY"
"99"," ",2779,91000,"33-35","172ND ST","QUEENS","NY"
"99"," ",2780,91001,"33-36","172ND ST","QUEENS","NY"
"99"," ",2781,91002,"33-37","172ND ST","QUEENS","NY"
"99"," ",2782,91003,"33-45","172ND ST","QUEENS","NY"
"99"," ",2783,91004,"33-49","172ND ST","QUEENS","NY"
"99"," ",2784,91005,"33-53","172ND ST","QUEENS","NY"
"99"," ",2785,91006,"33-57","172ND ST","QUEENS","NY"
"99"," ",2786,91007,"33-61","172ND ST","QUEENS","NY"
"99"," ",2787,91008,"33-65","172ND ST","QUEENS","NY"
"99"," ",2788,91009,"33-69","172ND ST","QUEENS","NY"
"99"," ",2789,91010,"33-73","172ND ST","QUEENS","NY"
"99"," ",2790,91011,"35-11","172ND ST","QUEENS","NY"
"99"," ",2791,91012,"35-14","172ND ST","QUEENS","NY"
"99"," ",2792,91013,"35-16","172ND ST","QUEENS","NY"
"99"," ",2793,91014,"35-17","172ND ST","QUEENS","NY"
"99"," ",2794,91015,"35-18","172ND ST","QUEENS","NY"
"99"," ",2795,91016,"35-21","172ND ST","QUEENS","NY"
"99"," ",2796,91017,"35-24","172ND ST","QUEENS","NY"
"99"," ",2797,91018,"35-25","172ND ST","QUEENS","NY"
"99"," ",2798,91019,"35-28","172ND ST","QUEENS","NY"
"99"," ",2799,91020,"35-29","172ND ST","QUEENS","NY"
"99"," ",2800,91021,"35-32","172ND ST","QUEENS","NY"
"99"," ",2801,91022,"35-33","172ND ST","QUEENS","NY"
"99"," ",2802,91023,"35-36","172ND ST","QUEENS","NY"
"99"," ",2803,91024,"35-37","172ND ST","QUEENS","NY"
"99"," ",2804,91025,"35-40","172ND ST","QUEENS","NY"
"99"," ",2805,91026,"35-44","172ND ST","QUEENS","NY"
"99"," ",2806,91027,"32-51","UTOPIA PKWY","QUEENS","NY"
"99"," ",2807,91028,"33-05","UTOPIA PKWY","QUEENS","NY"
"99"," ",2808,91029,"33-11","UTOPIA PKWY","QUEENS","NY"
"99"," ",2809,91030,"33-12","UTOPIA PKWY","QUEENS","NY"
"99"," ",2810,91031,"33-16","UTOPIA PKWY","QUEENS","NY"
"99"," ",2811,91032,"33-17","UTOPIA PKWY","QUEENS","NY"
"99"," ",2812,91033,"33-23","UTOPIA PKWY","QUEENS","NY"
"99"," ",2813,91034,"33-24","UTOPIA PKWY","QUEENS","NY"
"99"," ",2814,91035,"33-27","UTOPIA PKWY","QUEENS","NY"
"99"," ",2815,91036,"33-30","UTOPIA PKWY","QUEENS","NY"
"99"," ",2816,91037,"33-31","UTOPIA PKWY","QUEENS","NY"
"99"," ",2817,91038,"33-35","UTOPIA PKWY","QUEENS","NY"
"99"," ",2818,91039,"33-36","UTOPIA PKWY","QUEENS","NY"
"99"," ",2819,91040,"33-38","UTOPIA PKWY","QUEENS","NY"
"99"," ",2820,91041,"33-40","UTOPIA PKWY","QUEENS","NY"
"99"," ",2821,91042,"33-48","UTOPIA PKWY","QUEENS","NY"
"99"," ",2822,91043,"33-52","UTOPIA PKWY","QUEENS","NY"
"99"," ",2823,91044,"33-56","UTOPIA PKWY","QUEENS","NY"
"99"," ",2824,91045,"33-62","UTOPIA PKWY","QUEENS","NY"
"99"," ",2825,91046,"33-66","UTOPIA PKWY","QUEENS","NY"
"99"," ",2826,91047,"33-70","UTOPIA PKWY","QUEENS","NY"
"99"," ",2827,91048,"33-74","UTOPIA PKWY","QUEENS","NY"
"99"," ",2828,91049,"35-11","UTOPIA PKWY","QUEENS","NY"
"99"," ",2829,91050,"35-12","UTOPIA PKWY","QUEENS","NY"
"99"," ",2830,91051,"35-15","UTOPIA PKWY","QUEENS","NY"
"99"," ",2831,91052,"35-16","UTOPIA PKWY","QUEENS","NY"
"99"," ",2832,91053,"35-19","UTOPIA PKWY","QUEENS","NY"
"99"," ",2833,91054,"35-20","UTOPIA PKWY","QUEENS","NY"
"99"," ",2834,91055,"35-23","UTOPIA PKWY","QUEENS","NY"
"99"," ",2835,91056,"35-24","UTOPIA PKWY","QUEENS","NY"
"99"," ",2836,91057,"35-27","UTOPIA PKWY","QUEENS","NY"
"99"," ",2837,91058,"35-30","UTOPIA PKWY","QUEENS","NY"
"99"," ",2838,91059,"35-31","UTOPIA PKWY","QUEENS","NY"
"99"," ",2839,91060,"35-32","UTOPIA PKWY","QUEENS","NY"
"99"," ",2840,91061,"35-38","UTOPIA PKWY","QUEENS","NY"
"99"," ",2841,91062,"35-11","190TH ST","QUEENS","NY"
"99"," ",2842,91063,"35-12","UTOPIA PKWY","QUEENS","NY"
"99"," ",2843,91064,"35-12","190TH ST","QUEENS","NY"
"99"," ",2844,91065,"35-15/19","190TH ST","QUEENS","NY"
"99"," ",2845,91066,"35-16","190TH ST","QUEENS","NY"
"99"," ",2846,91067,"35-20","190TH ST","QUEENS","NY"
"99"," ",2847,91068,"35-21/25","190TH ST","QUEENS","NY"
"99"," ",2848,91069,"35-26","190TH ST","QUEENS","NY"
"99"," ",2849,91070,"35-30","190TH ST","QUEENS","NY"
"99"," ",2850,91071,"33-08","191ST ST","QUEENS","NY"
"99"," ",2851,91072,"33-16","191ST ST","QUEENS","NY"
"99"," ",2852,91073,"33-19","191ST ST","QUEENS","NY"
"99"," ",2853,91074,"33-23","191ST ST","QUEENS","NY"
"99"," ",2854,91075,"33-26","191ST ST","QUEENS","NY"
"99"," ",2855,91076,"33-27","191ST ST","QUEENS","NY"
"99"," ",2856,91077,"33-28","191ST ST","QUEENS","NY"
"99"," ",2857,91078,"33-31/33","191ST ST","QUEENS","NY"
"99"," ",2858,91079,"33-32","191ST ST","QUEENS","NY"
"99"," ",2859,91080,"33-35","191ST ST","QUEENS","NY"
"99"," ",2860,91081,"33-38","191ST ST","QUEENS","NY"
"99"," ",2861,91082,"33-41","191ST ST","QUEENS","NY"
"99"," ",2862,91083,"33-44","191ST ST","QUEENS","NY"
"99"," ",2863,91084,"33-46","191ST ST","QUEENS","NY"
"99"," ",2864,91085,"33-47","191ST ST","QUEENS","NY"
"99"," ",2865,91086,"33-50","191ST ST","QUEENS","NY"
"99"," ",2866,91087,"33-53","191ST ST","QUEENS","NY"
"99"," ",2867,91088,"33-59","191ST ST","QUEENS","NY"
"99"," ",2868,91089,"33-60","191ST ST","QUEENS","NY"
"99"," ",2869,91090,"33-63","191ST ST","QUEENS","NY"
"99"," ",2870,91091,"33-64","191ST ST","QUEENS","NY"
"99"," ",2871,91092,"33-68","191ST ST","QUEENS","NY"
"99"," ",2872,91093,"33-69","191ST ST","QUEENS","NY"
"99"," ",2873,91094,"33-71","191ST ST","QUEENS","NY"
"99"," ",2874,91095,"33-74","191ST ST","QUEENS","NY"
"99"," ",2875,91096,"35-01/09","191ST ST","QUEENS","NY"
"99"," ",2876,91097,"35-11","191ST ST","QUEENS","NY"
"99"," ",2877,91098,"35-15","191ST ST","QUEENS","NY"
"99"," ",2878,91099,"159-12","29TH AVE","QUEENS","NY"
"99"," ",2879,91100,"159-12","29TH AVE","QUEENS","NY"
"99"," ",2880,91102,"160-08","29TH AVE","QUEENS","NY"
"99"," ",2881,91101,"160-08","29TH AVE","QUEENS","NY"
"99"," ",2882,91103,"160-10","29TH AVE","QUEENS","NY"
"99"," ",2883,91104,"160-10","29TH AVE","QUEENS","NY"
"99"," ",2884,91105,"161-08","29TH AVE","QUEENS","NY"
"99"," ",2885,91106,"161-08","29TH AVE","QUEENS","NY"
"99"," ",2886,91107,"161-10","29TH AVE","QUEENS","NY"
"99"," ",2887,91108,"161-10","29TH AVE","QUEENS","NY"
"99"," ",2888,91109,"154-14","32ND AVE","QUEENS","NY"
"99"," ",2889,91110,"154-17","32ND AVE","QUEENS","NY"
"99"," ",2890,91111,"154-20","32ND AVE","QUEENS","NY"
"99"," ",2891,91112,"155-12","32ND AVE","QUEENS","NY"
"99"," ",2892,91113,"155-16","32ND AVE","QUEENS","NY"
"99"," ",2893,91114,"155-20","32ND AVE","QUEENS","NY"
"99"," ",2894,91115,"156-04","32ND AVE","QUEENS","NY"
"99"," ",2895,91116,"156-10","32ND AVE","QUEENS","NY"
"99"," ",2896,91117,"157-04","32ND AVE","QUEENS","NY"
"99"," ",2897,91118,"157-10","32ND AVE","QUEENS","NY"
"99"," ",2898,91119,"158-10","32ND AVE","QUEENS","NY"
"99"," ",2899,91120,"158-18","32ND AVE","QUEENS","NY"
"99"," ",2900,91121,"159-09","32ND AVE","QUEENS","NY"
"99"," ",2901,91122,"159-10","32ND AVE","QUEENS","NY"
"99"," ",2902,91123,"159-15","32ND AVE","QUEENS","NY"
"99"," ",2903,91124,"160-03","32ND AVE","QUEENS","NY"
"99"," ",2904,91125,"160-07","32ND AVE","QUEENS","NY"
"99"," ",2905,91126,"160-09","32ND AVE","QUEENS","NY"
"99"," ",2906,91127,"161-01","32ND AVE","QUEENS","NY"
"99"," ",2907,91128,"161-07","32ND AVE","QUEENS","NY"
"99"," ",2908,91129,"161-10","32ND AVE","QUEENS","NY"
"99"," ",2909,91130,"161-11","32ND AVE","QUEENS","NY"
"99"," ",2910,91131,"162-05","32ND AVE","QUEENS","NY"
"99"," ",2911,91132,"162-10","32ND AVE","QUEENS","NY"
"99"," ",2912,91133,"162-11","32ND AVE","QUEENS","NY"
"99"," ",2913,91134,"164-01","32ND AVE","QUEENS","NY"
"99"," ",2914,91135,"164-08/","10 32ND AVE","QUEENS","NY"
"99"," ",2915,91136,"164-16","32ND AVE","QUEENS","NY"
"99"," ",2916,91137,"166-06","32ND AVE","QUEENS","NY"
"99"," ",2917,91138,"166-10","32ND AVE","QUEENS","NY"
"99"," ",2918,91139,"168-06","32ND AVE","QUEENS","NY"
"99"," ",2919,91140,"168-10","32ND AVE","QUEENS","NY"
"99"," ",2920,91141,"168-14","32ND AVE","QUEENS","NY"
"99"," ",2921,91142,"170-04","32ND AVE","QUEENS","NY"
"99"," ",2922,91143,"170-12","32ND AVE","QUEENS","NY"
"99"," ",2923,91144,"171-11","32ND AVE","QUEENS","NY"
"99"," ",2924,91145,"171-19","32ND AVE","QUEENS","NY"
"99"," ",2925,91146,"172-01","32ND AVE","QUEENS","NY"
"99"," ",2926,91147,"172-04","32ND AVE","QUEENS","NY"
"99"," ",2927,91148,"172-09","32ND AVE","QUEENS","NY"
"99"," ",2928,91149,"172-10","32ND AVE","QUEENS","NY"
"99"," ",2929,91150,"154-09","33RD AVE","QUEENS","NY"
"99"," ",2930,91151,"155-03","33RD AVE","QUEENS","NY"
"99"," ",2931,91152,"155-04","33RD AVE","QUEENS","NY"
"99"," ",2932,91153,"155-08","33RD AVE","QUEENS","NY"
"99"," ",2933,91154,"155-09","33RD AVE","QUEENS","NY"
"99"," ",2934,91155,"155-12","33RD AVE","QUEENS","NY"
"99"," ",2935,91156,"155-15","33RD AVE","QUEENS","NY"
"99"," ",2936,91157,"156-01","33RD AVE","QUEENS","NY"
"99"," ",2937,91158,"156-04","33RD AVE","QUEENS","NY"
"99"," ",2938,91159,"156-05","33RD AVE","QUEENS","NY"
"99"," ",2939,91160,"156-09","33RD AVE","QUEENS","NY"
"99"," ",2940,91161,"156-16","33RD AVE","QUEENS","NY"
"99"," ",2941,91162,"156-17","33RD AVE","QUEENS","NY"
"99"," ",2942,91163,"157-05","33RD AVE","QUEENS","NY"
"99"," ",2943,91164,"157-11","33RD AVE","QUEENS","NY"
"99"," ",2944,91165,"157-17","33RD AVE","QUEENS","NY"
"99"," ",2945,91166,"158-07","33RD AVE","QUEENS","NY"
"99"," ",2946,91167,"158-11","33RD AVE","QUEENS","NY"
"99"," ",2947,91168,"158-20","33RD AVE","QUEENS","NY"
"99"," ",2948,91169,"159-05","33RD AVE","QUEENS","NY"
"99"," ",2949,91170,"159-18","33RD AVE","QUEENS","NY"
"99"," ",2950,91171,"160-03","33RD AVE","QUEENS","NY"
"99"," ",2951,91172,"160-06","33RD AVE","QUEENS","NY"
"99"," ",2952,91173,"160-11","33RD AVE","QUEENS","NY"
"99"," ",2953,91174,"160-16","33RD AVE","QUEENS","NY"
"99"," ",2954,91175,"160-17","33RD AVE","QUEENS","NY"
"99"," ",2955,91176,"161-03","33RD AVE","QUEENS","NY"
"99"," ",2956,91177,"161-15","33RD AVE","QUEENS","NY"
"99"," ",2957,91178,"161-16","33RD AVE","QUEENS","NY"
"99"," ",2958,91179,"162-03","33RD AVE","QUEENS","NY"
"99"," ",2959,91180,"162-06","33RD AVE","QUEENS","NY"
"99"," ",2960,91181,"163-03","33RD AVE","QUEENS","NY"
"99"," ",2961,91182,"163-04","33RD AVE","QUEENS","NY"
"99"," ",2962,91183,"163-15","33RD AVE","QUEENS","NY"
"99"," ",2963,91184,"164-02","04 33RD AVE","QUEENS","NY"
"99"," ",2964,91185,"164-03","33RD AVE","QUEENS","NY"
"99"," ",2965,91186,"164-11","33RD AVE","QUEENS","NY"
"99"," ",2966,91187,"164-17","33RD AVE","QUEENS","NY"
"99"," ",2967,91188,"165-08","33RD AVE","QUEENS","NY"
"99"," ",2968,91189,"165-09","33RD AVE","QUEENS","NY"
"99"," ",2969,91190,"165-10","33RD AVE","QUEENS","NY"
"99"," ",2970,91191,"165-16","33RD AVE","QUEENS","NY"
"99"," ",2971,91192,"165-17","33RD AVE","QUEENS","NY"
"99"," ",2972,91193,"166-06","33RD AVE","QUEENS","NY"
"99"," ",2973,91194,"166-07","33RD AVE","QUEENS","NY"
"99"," ",2974,91195,"166-12","33RD AVE","QUEENS","NY"
"99"," ",2975,91196,"166-13/","15 33RD AVE","QUEENS","NY"
"99"," ",2976,91197,"166-17","33RD AVE","QUEENS","NY"
"99"," ",2977,91198,"167-01","33RD AVE","QUEENS","NY"
"99"," ",2978,91199,"167-11","33RD AVE","QUEENS","NY"
"99"," ",2979,91200,"167-12","33RD AVE","QUEENS","NY"
"99"," ",2980,91201,"167-14","33RD AVE","QUEENS","NY"
"99"," ",2981,91202,"168-02","33RD AVE","QUEENS","NY"
"99"," ",2982,91203,"168-09","33RD AVE","QUEENS","NY"
"99"," ",2983,91204,"168-10","33RD AVE","QUEENS","NY"
"99"," ",2984,91205,"168-12","33RD AVE","QUEENS","NY"
"99"," ",2985,91206,"168-15","33RD AVE","QUEENS","NY"
"99"," ",2986,91207,"169-04","33RD AVE","QUEENS","NY"
"99"," ",2987,91208,"169-09","33RD AVE","QUEENS","NY"
"99"," ",2988,91209,"169-10","33RD AVE","QUEENS","NY"
"99"," ",2989,91210,"169-11","33RD AVE","QUEENS","NY"
"99"," ",2990,91211,"169-12","33RD AVE","QUEENS","NY"
"99"," ",2991,91212,"169-18","33RD AVE","QUEENS","NY"
"99"," ",2992,91213,"170-01/","19 33RD AVE","QUEENS","NY"
"99"," ",2993,91214,"170-04","33RD AVE","QUEENS","NY"
"99"," ",2994,91215,"171-07","33RD AVE","QUEENS","NY"
"99"," ",2995,91216,"171-10","33RD AVE","QUEENS","NY"
"99"," ",2996,91217,"171-11","33RD AVE","QUEENS","NY"
"99"," ",2997,91218,"171-12","33RD AVE","QUEENS","NY"
"99"," ",2998,91219,"171-17","33RD AVE","QUEENS","NY"
"99"," ",2999,91220,"172-02","33RD AVE","QUEENS","NY"
"99"," ",3000,91221,"172-06","33RD AVE","QUEENS","NY"
"99"," ",3001,91222,"172-10","33RD AVE","QUEENS","NY"
"99"," ",3002,91223,"172-12","33RD AVE","QUEENS","NY"
"99"," ",3003,91224,"189-06","33RD AVE","QUEENS","NY"
"99"," ",3004,91225,"189-07","33RD AVE","QUEENS","NY"
"99"," ",3005,91226,"189-10","33RD AVE","QUEENS","NY"
"99"," ",3006,91227,"189-16","33RD AVE","QUEENS","NY"
"99"," ",3007,91228,"190-16","33RD AVE","QUEENS","NY"
"99"," ",3008,91229,"154-02","35TH AVE","QUEENS","NY"
"99"," ",3009,91230,"154-08","35TH AVE","QUEENS","NY"
"99"," ",3010,91231,"154-14","35TH AVE","QUEENS","NY"
"99"," ",3011,91232,"154-18","35TH AVE","QUEENS","NY"
"99"," ",3012,91233,"155-10","35TH AVE","QUEENS","NY"
"99"," ",3013,91234,"155-11","35TH AVE","QUEENS","NY"
"99"," ",3014,91235,"155-14","35TH AVE","QUEENS","NY"
"99"," ",3015,91236,"155-15","35TH AVE","QUEENS","NY"
"99"," ",3016,91237,"156-03","35TH AVE","QUEENS","NY"
"99"," ",3017,91238,"156-15","35TH AVE","QUEENS","NY"
"99"," ",3018,91239,"157-03","35TH AVE","QUEENS","NY"
"99"," ",3019,91240,"157-04","35TH AVE","QUEENS","NY"
"99"," ",3020,91241,"157-15","35TH AVE","QUEENS","NY"
"99"," ",3021,91242,"157-20","35TH AVE","QUEENS","NY"
"99"," ",3022,91243,"158-04","35TH AVE","QUEENS","NY"
"99"," ",3023,91244,"158-05","35TH AVE","QUEENS","NY"
"99"," ",3024,91245,"159-01","35TH AVE","QUEENS","NY"
"99"," ",3025,91246,"159-11","35TH AVE","QUEENS","NY"
"99"," ",3026,91247,"160-01","35TH AVE","QUEENS","NY"
"99"," ",3027,91248,"160-06","35TH AVE","QUEENS","NY"
"99"," ",3028,91249,"160-14","35TH AVE","QUEENS","NY"
"99"," ",3029,91250,"162-16","35TH AVE","QUEENS","NY"
"99"," ",3030,91251,"163-15","35TH AVE","QUEENS","NY"
"99"," ",3031,91252,"163-16","35TH AVE","QUEENS","NY"
"99"," ",3032,91253,"164-01/","05 35TH AVE","QUEENS","NY"
"99"," ",3033,91254,"166-03","35TH AVE","QUEENS","NY"
"99"," ",3034,91255,"166-15","35TH AVE","QUEENS","NY"
"99"," ",3035,91256,"166-16","35TH AVE","QUEENS","NY"
"99"," ",3036,91257,"168-03","35TH AVE","QUEENS","NY"
"99"," ",3037,91258,"168-04","35TH AVE","QUEENS","NY"
"99"," ",3038,91259,"168-07","35TH AVE","QUEENS","NY"
"99"," ",3039,91260,"168-08","35TH AVE","QUEENS","NY"
"99"," ",3040,91261,"168-11","35TH AVE","QUEENS","NY"
"99"," ",3041,91262,"168-12","35TH AVE","QUEENS","NY"
"99"," ",3042,91263,"168-17","35TH AVE","QUEENS","NY"
"99"," ",3043,91264,"169-02/","10/12 35TH AVE","QUEENS","NY"
"99"," ",3044,91265,"169-11/","15/19 35TH AVE","QUEENS","NY"
"99"," ",3045,91266,"169-14","35TH AVE","QUEENS","NY"
"99"," ",3046,91267,"170-05","35TH AVE","QUEENS","NY"
"99"," ",3047,91268,"170-08","35TH AVE","QUEENS","NY"
"99"," ",3048,91269,"170-11","35TH AVE","QUEENS","NY"
"99"," ",3049,91270,"170-12","35TH AVE","QUEENS","NY"
"99"," ",3050,91271,"170-13","35TH AVE","QUEENS","NY"
"99"," ",3051,91272,"170-18","35TH AVE","QUEENS","NY"
"99"," ",3052,91273,"171-10","35TH AVE","QUEENS","NY"
"99"," ",3053,91274,"171-11","35TH AVE","QUEENS","NY"
"99"," ",3054,91275,"189-02/","06 35TH AVE","QUEENS","NY"
"99"," ",3055,91276,"189-10/","14 35TH AVE","QUEENS","NY"
"99"," ",3056,91277,"189-16/","18 35TH AVE","QUEENS","NY"
"99"," ",3057,91278,"190-01-","21 35TH AVE","QUEENS","NY"
"99"," ",3058,91279,"191-02-20","35TH AVE","QUEENS","NY"
"99"," ",3059,91280,"191-02/","08 35TH AVE","QUEENS","NY"
"99"," ",3060,91281,"191-05","35TH AVE","QUEENS","NY"
"99"," ",3061,91282,"164-03","CROCHERON AVE","QUEENS","NY"
"99"," ",3062,91283,"165-06","CROCHERON AVE","QUEENS","NY"
"99"," ",3063,91284,"165-11","CROCHERON AVE","QUEENS","NY"
"99"," ",3064,91285,"165-17","CROCHERON AVE","QUEENS","NY"
"99"," ",3065,91286,"166-01/","05 CROCHERON AVE","QUEENS","NY"
"99"," ",3066,91287,"166-61","CROCHERON AVE","QUEENS","NY"
"99"," ",3067,91288,"169-11","CROCHERON AVE","QUEENS","NY"
"99"," ",3068,91289,"169-17","CROCHERON AVE","QUEENS","NY"
"99"," ",3069,91290,"171-15","CROCHERON AVE","QUEENS","NY"
"99"," ",3070,91291,"190-01/","05 CROCHERON AVE","QUEENS","NY"
