uid,hn,street,boro,state
91506,37-56/60,85TH ST,QUEENS,NY
90153,33-23,69TH ST,QUEENS,NY
90502,34-07,73RD ST,QUEENS,NY
91532,,ST,QUEENS,NY
90019,33-12,69TH ST,QUEENS,NY
90035,33-14,69TH ST,QUEENS,NY
90060,33-16,69TH ST,QUEENS,NY
90088,33-18,69TH ST,QUEENS,NY
90111,33-20,69TH ST,QUEENS,NY
90139,33-22,69TH ST,QUEENS,NY
90163,33-24,69TH ST,QUEENS,NY
90191,33-26,69TH ST,QUEENS,NY
90020,33-12,70TH ST,QUEENS,NY
90036,33-14,70TH ST,QUEENS,NY
90061,33-16,70TH ST,QUEENS,NY
90089,33-18,70TH ST,QUEENS,NY
90112,33-20,70TH ST,QUEENS,NY
90140,33-22,70TH ST,QUEENS,NY
90164,33-24,70TH ST,QUEENS,NY
90192,33-26,70TH ST,QUEENS,NY
90218,33-28,70TH ST,QUEENS,NY
90244,33-30,70TH ST,QUEENS,NY
90270,33-32,70TH ST,QUEENS,NY
90298,33-34,70TH ST,QUEENS,NY
90323,33-36,70TH ST,QUEENS,NY
90345,33-38,70TH ST,QUEENS,NY
90372,33-40,70TH ST,QUEENS,NY
90399,33-42,70TH ST,QUEENS,NY
90424,33-44,70TH ST,QUEENS,NY
90445,33-46,70TH ST,QUEENS,NY
90461,33-48,70TH ST,QUEENS,NY
90433,33-45,69TH ST,QUEENS,NY
90414,33-43,69TH ST,QUEENS,NY
90386,33-41,69TH ST,QUEENS,NY
90358,33-39,69TH ST,QUEENS,NY
90333,33-37,69TH ST,QUEENS,NY
90313,33-35,69TH ST,QUEENS,NY
90283,33-33,69TH ST,QUEENS,NY
90258,33-31,69TH ST,QUEENS,NY
90232,33-29,69TH ST,QUEENS,NY
90206,33-27,69TH ST,QUEENS,NY
90177,33-25,69TH ST,QUEENS,NY
90125,33-21,69TH ST,QUEENS,NY
90102,33-19,69TH ST,QUEENS,NY
90074,33-17,69TH ST,QUEENS,NY
90046,33-15,69TH ST,QUEENS,NY
90017,33-11A,69TH ST,QUEENS,NY
90003,33-11,69TH ST,QUEENS,NY
91696,82-16,34TH AVE,QUEENS,NY
91609,73-02/22,NORTHERN BLVD,QUEENS,NY
91692,82-06/24,NORTHERN BLVD,QUEENS,NY
91699,83-02/16,NORTHERN BLVD,QUEENS,NY
91710,83-18-28,NORTHERN BLVD,QUEENS,NY
91755,89-02,NORTHERN BLVD,QUEENS,NY
91758,89-04,NORTHERN BLVD,QUEENS,NY
91759,89-06,NORTHERN BLVD,QUEENS,NY
91761,89-08,NORTHERN BLVD,QUEENS,NY
91763,89-10,NORTHERN BLVD,QUEENS,NY
91766,89-12,NORTHERN BLVD,QUEENS,NY
91768,89-14,NORTHERN BLVD,QUEENS,NY
91769,89-16,NORTHERN BLVD,QUEENS,NY
91770,89-18,NORTHERN BLVD,QUEENS,NY
91772,89-20,NORTHERN BLVD,QUEENS,NY
91531,69-01,34TH AVE ,QUEENS,NY
90479,33-53,70TH ST,QUEENS,NY
91534,70-05,34TH AVE,QUEENS,NY
91535,70-07,34TH AVE,QUEENS,NY
91537,70-09,34TH AVE,QUEENS,NY
91539,70-11,34TH AVE,QUEENS,NY
91543,70-15,34TH AVE,QUEENS,NY
91545,70-17,34TH AVE,QUEENS,NY
90482,33-54,71ST ST,QUEENS,NY
91553,71-01,34TH AVE,QUEENS,NY
91558,71-03,34TH AVE,QUEENS,NY
91562,71-05,34TH AVE,QUEENS,NY
91567,71-07,34TH AVE,QUEENS,NY
91570,71-09,34TH AVE,QUEENS,NY
91574,71-11,34TH AVE,QUEENS,NY
91577,71-13,34TH AVE,QUEENS,NY
91581,71-15,34TH AVE,QUEENS,NY
91585,71-17,34TH AVE,QUEENS,NY
91587,71-19,34TH AVE,QUEENS,NY
91602,72-17,34TH AVE,QUEENS,NY
91631,76-09,34TH AVE,QUEENS,NY
91635,77-01,34TH AVE,QUEENS,NY
91644,78-01,34TH AVE,QUEENS,NY
91647,78-09,34TH AVE,QUEENS,NY
