id,address,proj,address_cln_1,address_cln_2
8101.007361,"73-02/22 NORTHERN BLVD, QUEENS NY",jh,73-02/22 NORTHERN BLVD,73-02/22 NORTHERN BLVD
8101.007362,"82-06/24 NORTHERN BLVD, QUEENS NY",jh,82-06/24 NORTHERN BLVD,82-06/24 NORTHERN BLVD
8101.007363,"83-02/16 NORTHERN BLVD, QUEENS NY",jh,83-02/16 NORTHERN BLVD,83-02/16 NORTHERN BLVD
8101.007364,"83-18-28 NORTHERN BLVD, QUEENS NY",jh,83-18-28 NORTHERN BLVD,83-18-28 NORTHERN BLVD
8101.007365,"89-02 NORTHERN BLVD, QUEENS NY",jh,89-02 NORTHERN BLVD,89-02 NORTHERN BLVD
8101.007366,"89-04 NORTHERN BLVD, QUEENS NY",jh,89-04 NORTHERN BLVD,89-04 NORTHERN BLVD
8101.007367,"89-06 NORTHERN BLVD, QUEENS NY",jh,89-06 NORTHERN BLVD,89-06 NORTHERN BLVD
8101.007368,"89-08 NORTHERN BLVD, QUEENS NY",jh,89-08 NORTHERN BLVD,89-08 NORTHERN BLVD
8101.007369,"89-10 NORTHERN BLVD, QUEENS NY",jh,89-10 NORTHERN BLVD,89-10 NORTHERN BLVD
8101.00737,"89-12 NORTHERN BLVD, QUEENS NY",jh,89-12 NORTHERN BLVD,89-12 NORTHERN BLVD
8101.007371,"89-14 NORTHERN BLVD, QUEENS NY",jh,89-14 NORTHERN BLVD,89-14 NORTHERN BLVD
8101.007372,"89-16 NORTHERN BLVD, QUEENS NY",jh,89-16 NORTHERN BLVD,89-16 NORTHERN BLVD
8101.007373,"89-18 NORTHERN BLVD, QUEENS NY",jh,89-18 NORTHERN BLVD,89-18 NORTHERN BLVD
8101.007374,"89-20 NORTHERN BLVD, QUEENS NY",jh,89-20 NORTHERN BLVD,89-20 NORTHERN BLVD
8101.007375,"69-01 34TH AVE, QUEENS NY ",jh,69-01 34TH AVE,69-01 34TH AVE
8101.007376,"33-53 70TH ST, QUEENS NY",jh,33-53 70TH ST,33-53 70TH ST
8101.007377,"70-05 34TH AVE, QUEENS NY",jh,70-05 34TH AVE,70-05 34TH AVE
8101.007378,"70-07 34TH AVE, QUEENS NY",jh,70-07 34TH AVE,70-07 34TH AVE
8101.007379,"70-09 34TH AVE, QUEENS NY",jh,70-09 34TH AVE,70-09 34TH AVE
8101.00738,"70-11 34TH AVE, QUEENS NY",jh,70-11 34TH AVE,70-11 34TH AVE
8101.007381,"70-15 34TH AVE, QUEENS NY",jh,70-15 34TH AVE,70-15 34TH AVE
8101.007382,"70-17 34TH AVE, QUEENS NY",jh,70-17 34TH AVE,70-17 34TH AVE
8101.007383,"33-54 71ST ST, QUEENS NY",jh,33-54 71ST ST,33-54 71ST ST
8101.007384,"71-01 34TH AVE, QUEENS NY",jh,71-01 34TH AVE,71-01 34TH AVE
8101.007385,"71-03 34TH AVE, QUEENS NY",jh,71-03 34TH AVE,71-03 34TH AVE
8101.007386,"71-05 34TH AVE, QUEENS NY",jh,71-05 34TH AVE,71-05 34TH AVE
8101.007387,"71-07 34TH AVE, QUEENS NY",jh,71-07 34TH AVE,71-07 34TH AVE
8101.007388,"71-09 34TH AVE, QUEENS NY",jh,71-09 34TH AVE,71-09 34TH AVE
8101.007389,"71-11 34TH AVE, QUEENS NY",jh,71-11 34TH AVE,71-11 34TH AVE
8101.00739,"71-13 34TH AVE, QUEENS NY",jh,71-13 34TH AVE,71-13 34TH AVE
8101.007391,"71-15 34TH AVE, QUEENS NY",jh,71-15 34TH AVE,71-15 34TH AVE
8101.007392,"71-17 34TH AVE, QUEENS NY",jh,71-17 34TH AVE,71-17 34TH AVE
8101.007393,"71-19 34TH AVE, QUEENS NY",jh,71-19 34TH AVE,71-19 34TH AVE
8101.007394,"72-17 34TH AVE, QUEENS NY",jh,72-17 34TH AVE,72-17 34TH AVE
8101.007395,"76-09 34TH AVE, QUEENS NY",jh,76-09 34TH AVE,76-09 34TH AVE
8101.007396,"77-01 34TH AVE, QUEENS NY",jh,77-01 34TH AVE,77-01 34TH AVE
8101.007397,"78-01 34TH AVE, QUEENS NY",jh,78-01 34TH AVE,78-01 34TH AVE
8101.007398,"78-09 34TH AVE, QUEENS NY",jh,78-09 34TH AVE,78-09 34TH AVE
8101.007399,"81-11 34TH AVE, QUEENS NY",jh,81-11 34TH AVE,81-11 34TH AVE
8101.0074,"83-03 34TH AVE, QUEENS NY",jh,83-03 34TH AVE,83-03 34TH AVE
8101.007401,"83-05 34TH AVE, QUEENS NY",jh,83-05 34TH AVE,83-05 34TH AVE
8101.007402,"83-17 34TH AVE, QUEENS NY",jh,83-17 34TH AVE,83-17 34TH AVE
8101.007403,"83-11 34TH AVE, QUEENS NY",jh,83-11 34TH AVE,83-11 34TH AVE
8101.007404,"85-11 34TH AVE, QUEENS NY",jh,85-11 34TH AVE,85-11 34TH AVE
8101.007405,"86-11 34TH AVE, Queens",lg,86-11 34TH AVE,86-11 34TH AVE
8101.007405,"86-11 34TH AVE, QUEENS NY",jh,86-11 34TH AVE,86-11 34TH AVE
8101.007406,"87-09 34TH AVE, QUEENS NY",jh,87-09 34TH AVE,87-09 34TH AVE
8101.007407,"88-11 34TH AVE, Queens",lg,88-11 34TH AVE,88-11 34TH AVE
8101.007407,"88-11 34TH AVE, QUEENS NY",jh,88-11 34TH AVE,88-11 34TH AVE
8101.007408,"89-01 34TH AVE, QUEENS NY",jh,89-01 34TH AVE,89-01 34TH AVE
8101.007409,"89-11 34TH AVE, QUEENS NY",jh,89-11 34TH AVE,89-11 34TH AVE
8101.00741,"70-12 34TH AVE, QUEENS NY",jh,70-12 34TH AVE,70-12 34TH AVE
8101.007411,"70-16 34TH AVE, QUEENS NY",jh,70-16 34TH AVE,70-16 34TH AVE
8101.007412,"70-18 34TH AVE, QUEENS NY",jh,70-18 34TH AVE,70-18 34TH AVE
8101.007413,"70-22 34TH AVE, QUEENS NY",jh,70-22 34TH AVE,70-22 34TH AVE
8101.007414,"71-02 34TH AVE, QUEENS NY",jh,71-02 34TH AVE,71-02 34TH AVE
8101.007415,"71-04 34TH AVE, QUEENS NY",jh,71-04 34TH AVE,71-04 34TH AVE
8101.007416,"71-06 34TH AVE, QUEENS NY",jh,71-06 34TH AVE,71-06 34TH AVE
8101.007417,"71-10 34TH AVE, QUEENS NY",jh,71-10 34TH AVE,71-10 34TH AVE
8101.007418,"71-14 34TH AVE, QUEENS NY",jh,71-14 34TH AVE,71-14 34TH AVE
8101.007419,"71-16 34TH AVE, QUEENS NY",jh,71-16 34TH AVE,71-16 34TH AVE
8101.00742,"71-20 34TH AVE, QUEENS NY",jh,71-20 34TH AVE,71-20 34TH AVE
8101.007421,"71-22 34TH AVE, QUEENS NY",jh,71-22 34TH AVE,71-22 34TH AVE
8101.007422,"72-02 34TH AVE, QUEENS NY",jh,72-02 34TH AVE,72-02 34TH AVE
8101.007423,"72-06 34TH AVE, QUEENS NY",jh,72-06 34TH AVE,72-06 34TH AVE
8101.007424,"72-08 34TH AVE, QUEENS NY",jh,72-08 34TH AVE,72-08 34TH AVE
8101.007425,"72-10 34TH AVE, QUEENS NY",jh,72-10 34TH AVE,72-10 34TH AVE
8101.007426,"72-12 34TH AVE, QUEENS NY",jh,72-12 34TH AVE,72-12 34TH AVE
8101.007427,"72-16 34TH AVE, QUEENS NY",jh,72-16 34TH AVE,72-16 34TH AVE
8101.007428,"72-18 34TH AVE, QUEENS NY",jh,72-18 34TH AVE,72-18 34TH AVE
8101.007429,"72-22 34TH AVE, QUEENS NY",jh,72-22 34TH AVE,72-22 34TH AVE
8101.00743,"76-10 34TH AVE, QUEENS NY",jh,76-10 34TH AVE,76-10 34TH AVE
8101.007431,"77-02 34TH AVE, QUEENS NY",jh,77-02 34TH AVE,77-02 34TH AVE
8101.007432,"77-10 34TH AVE, QUEENS NY",jh,77-10 34TH AVE,77-10 34TH AVE
8101.007433,"79-10 34TH AVE, QUEENS NY",jh,79-10 34TH AVE,79-10 34TH AVE
8101.007434,"81-14 34TH AVE, QUEENS NY",jh,81-14 34TH AVE,81-14 34TH AVE
8101.007435,"82-06 34TH AVE, QUEENS NY",jh,82-06 34TH AVE,82-06 34TH AVE
8101.007436,"84-10 34TH AVE, QUEENS NY",jh,84-10 34TH AVE,84-10 34TH AVE
8101.007437,"85-10 34TH AVE, QUEENS NY",jh,85-10 34TH AVE,85-10 34TH AVE
8101.007438,"86-10 34TH AVE, QUEENS NY",jh,86-10 34TH AVE,86-10 34TH AVE
8101.007439,"87-10 34TH AVE, QUEENS NY",jh,87-10 34TH AVE,87-10 34TH AVE
8101.00744,"99-10 34TH AVE, QUEENS NY",jh,99-10 34TH AVE,99-10 34TH AVE
8101.007441,"89-04 34TH AVE, QUEENS NY",jh,89-04 34TH AVE,89-04 34TH AVE
8101.007442,"89-14 34TH AVE, QUEENS NY",jh,89-14 34TH AVE,89-14 34TH AVE
8101.007443,"90-10 34TH AVE, QUEENS NY",jh,90-10 34TH AVE,90-10 34TH AVE
