id,address,proj,address_cln_1,address_cln_2,addr_concat,uid,streetaddress,addressRemoveSuite,hn,street,county,boro,suite_type,suite_num,city,state
8101.008932,37-14 89TH ST QUEENS NY,jf,37-14 89TH ST,37-14 89TH ST,8101.008932^37-14 89TH ST^jf,91797,"37-14 89TH ST, QUEENS NY",37-14 89TH ST QUEENS NY,37-14,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008933,37-18 89TH ST QUEENS NY,jf,37-18 89TH ST,37-18 89TH ST,8101.008933^37-18 89TH ST^jf,91798,"37-18 89TH ST, QUEENS NY",37-18 89TH ST QUEENS NY,37-18,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008934,37-20 89TH ST QUEENS NY,jf,37-20 89TH ST,37-20 89TH ST,8101.008934^37-20 89TH ST^jf,91799,"37-20 89TH ST, QUEENS NY",37-20 89TH ST QUEENS NY,37-20,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008935,37-22 89TH ST QUEENS NY,jf,37-22 89TH ST,37-22 89TH ST,8101.008935^37-22 89TH ST^jf,91800,"37-22 89TH ST, QUEENS NY",37-22 89TH ST QUEENS NY,37-22,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008936,37-24 89TH ST QUEENS NY,jf,37-24 89TH ST,37-24 89TH ST,8101.008936^37-24 89TH ST^jf,91801,"37-24 89TH ST, QUEENS NY",37-24 89TH ST QUEENS NY,37-24,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008937,37-28 89TH ST QUEENS NY,jf,37-28 89TH ST,37-28 89TH ST,8101.008937^37-28 89TH ST^jf,91802,"37-28 89TH ST, QUEENS NY",37-28 89TH ST QUEENS NY,37-28,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008938,37-30 89TH ST QUEENS NY,jf,37-30 89TH ST,37-30 89TH ST,8101.008938^37-30 89TH ST^jf,91803,"37-30 89TH ST, QUEENS NY",37-30 89TH ST QUEENS NY,37-30,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008939,37-32 89TH ST QUEENS NY,jf,37-32 89TH ST,37-32 89TH ST,8101.008939^37-32 89TH ST^jf,91804,"37-32 89TH ST, QUEENS NY",37-32 89TH ST QUEENS NY,37-32,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00894,37-34 89TH ST QUEENS NY,jf,37-34 89TH ST,37-34 89TH ST,8101.00894^37-34 89TH ST^jf,91805,"37-34 89TH ST, QUEENS NY",37-34 89TH ST QUEENS NY,37-34,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008941,37-52 89TH ST QUEENS NY,jf,37-52 89TH ST,37-52 89TH ST,8101.008941^37-52 89TH ST^jf,91806,"37-52 89TH ST, QUEENS NY",37-52 89TH ST QUEENS NY,37-52,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008942,33-11 89TH ST QUEENS NY,jf,33-11 89TH ST,33-11 89TH ST,8101.008942^33-11 89TH ST^jf,91807,"33-11 89TH ST, QUEENS NY",33-11 89TH ST QUEENS NY,33-11,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008943,33-15 89TH ST QUEENS NY,jf,33-15 89TH ST,33-15 89TH ST,8101.008943^33-15 89TH ST^jf,91808,"33-15 89TH ST, QUEENS NY",33-15 89TH ST QUEENS NY,33-15,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008944,33-17 89TH ST QUEENS NY,jf,33-17 89TH ST,33-17 89TH ST,8101.008944^33-17 89TH ST^jf,91809,"33-17 89TH ST, QUEENS NY",33-17 89TH ST QUEENS NY,33-17,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008945,33-21 89TH ST QUEENS NY,jf,33-21 89TH ST,33-21 89TH ST,8101.008945^33-21 89TH ST^jf,91810,"33-21 89TH ST, QUEENS NY",33-21 89TH ST QUEENS NY,33-21,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008946,33-23 89TH ST QUEENS NY,jf,33-23 89TH ST,33-23 89TH ST,8101.008946^33-23 89TH ST^jf,91811,"33-23 89TH ST, QUEENS NY",33-23 89TH ST QUEENS NY,33-23,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008947,33-27 89TH ST QUEENS NY,jf,33-27 89TH ST,33-27 89TH ST,8101.008947^33-27 89TH ST^jf,91812,"33-27 89TH ST, QUEENS NY",33-27 89TH ST QUEENS NY,33-27,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008948,33-29 89TH ST QUEENS NY,jf,33-29 89TH ST,33-29 89TH ST,8101.008948^33-29 89TH ST^jf,91813,"33-29 89TH ST, QUEENS NY",33-29 89TH ST QUEENS NY,33-29,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008949,33-31 89TH ST QUEENS NY,jf,33-31 89TH ST,33-31 89TH ST,8101.008949^33-31 89TH ST^jf,91814,"33-31 89TH ST, QUEENS NY",33-31 89TH ST QUEENS NY,33-31,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00895,33-33 89TH ST QUEENS NY,jf,33-33 89TH ST,33-33 89TH ST,8101.00895^33-33 89TH ST^jf,91815,"33-33 89TH ST, QUEENS NY",33-33 89TH ST QUEENS NY,33-33,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008951,33-37 89TH ST QUEENS NY,jf,33-37 89TH ST,33-37 89TH ST,8101.008951^33-37 89TH ST^jf,91816,"33-37 89TH ST, QUEENS NY",33-37 89TH ST QUEENS NY,33-37,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008952,33-39 89TH ST QUEENS NY,jf,33-39 89TH ST,33-39 89TH ST,8101.008952^33-39 89TH ST^jf,91817,"33-39 89TH ST, QUEENS NY",33-39 89TH ST QUEENS NY,33-39,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008953,33-41 89TH ST QUEENS NY,jf,33-41 89TH ST,33-41 89TH ST,8101.008953^33-41 89TH ST^jf,91818,"33-41 89TH ST, QUEENS NY",33-41 89TH ST QUEENS NY,33-41,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008954,33-45 89TH ST QUEENS NY,jf,33-45 89TH ST,33-45 89TH ST,8101.008954^33-45 89TH ST^jf,91819,"33-45 89TH ST, QUEENS NY",33-45 89TH ST QUEENS NY,33-45,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008955,34-15 89TH ST QUEENS NY,jf,34-15 89TH ST,34-15 89TH ST,8101.008955^34-15 89TH ST^jf,91820,"34-15 89TH ST, QUEENS NY",34-15 89TH ST QUEENS NY,34-15,89TH ST,QUEENS,QUEENS,,,QUEENS,NY
