id,address,proj,address_cln_1,address_cln_2,addr_concat,uid,streetaddress,addressRemoveSuite,hn,street,county,boro,suite_type,suite_num,city,state
8101.00007,90-91 Beach Channel Drive,,90-91 BEACH CHANNEL DRIVE,90-91 BEACH CHANNEL DRIVE,8101.00007^90-91 BEACH CHANNEL DRIVE^nan,90001,90-91 Beach Channel Drive,90-91 Beach Channel Drive,90-91,BEACH CHANNEL DRIVE,,nan,,,,NY
8101.000721,199 BEACH 67TH ST,,199 BEACH 67TH ST,199 BEACH 67TH ST,8101.000721^199 BEACH 67TH ST^nan,90002,199 BEACH 67TH ST,199 BEACH 67TH ST,199,BEACH 67TH ST,,nan,,,,NY
8101.002874,4823 39TH AVE Queens,,4823 39TH AVE,4823 39TH AVE,8101.002874^4823 39TH AVE^nan,90003,"4823 39TH AVE, Queens",4823 39TH AVE Queens,4823,39TH AVE ,Queens,Queens,,,Queens,NY
8101.002876,501 39TH AVE,,501 39TH AVE,501 39TH AVE,8101.002876^501 39TH AVE^nan,90004,501 39TH AVE,501 39TH AVE,501,39TH AVE,,nan,,,,NY
8101.003092,3979 GOSMAN AVE,,3979 GOSMAN AVE,3979 GOSMAN AVE,8101.003092^3979 GOSMAN AVE^nan,90005,3979 GOSMAN AVE,3979 GOSMAN AVE,3979,GOSMAN AVE,,nan,,,,NY
8101.003339,3979 CAROLINA RD,,3979 CAROLINA RD,3979 CAROLINA RD,8101.003339^3979 CAROLINA RD^nan,90006,3979 CAROLINA RD,3979 CAROLINA RD,3979,CAROLINA RD,,nan,,,,NY
8101.003456,3979 PACKARD ST,,3979 PACKARD ST,3979 PACKARD ST,8101.003456^3979 PACKARD ST^nan,90007,3979 PACKARD ST,3979 PACKARD ST,3979,PACKARD ST,,nan,,,,NY
8101.006413,162-24 JAMAICA AVE Queens,,162-24 JAMAICA AVE,162-24 JAMAICA AVE,8101.006413^162-24 JAMAICA AVE^nan,90008,"162-24 JAMAICA AVE, Queens",162-24 JAMAICA AVE Queens,162-24,JAMAICA AVE ,Queens,Queens,,,Queens,NY
8101.006414,46-02 21ST ST Queens,,46-02 21ST ST,46-02 21ST ST,8101.006414^46-02 21ST ST^nan,90009,"46-02 21ST ST, Queens",46-02 21ST ST Queens,46-02,21ST ST ,Queens,Queens,,,Queens,NY
8101.006481,44-70 23RD ST Queens,,44-70 23RD ST,44-70 23RD ST,8101.006481^44-70 23RD ST^nan,90010,"44-70 23RD ST, Queens",44-70 23RD ST Queens,44-70,23RD ST ,Queens,Queens,,,Queens,NY
8101.006482,44-72 23RD ST Queens,,44-72 23RD ST,44-72 23RD ST,8101.006482^44-72 23RD ST^nan,90011,"44-72 23RD ST, Queens",44-72 23RD ST Queens,44-72,23RD ST ,Queens,Queens,,,Queens,NY
8101.006483,44-74 23RD ST Queens,,44-74 23RD ST,44-74 23RD ST,8101.006483^44-74 23RD ST^nan,90012,"44-74 23RD ST, Queens",44-74 23RD ST Queens,44-74,23RD ST ,Queens,Queens,,,Queens,NY
8101.006484,44-76 23RD ST Queens,,44-76 23RD ST,44-76 23RD ST,8101.006484^44-76 23RD ST^nan,90013,"44-76 23RD ST, Queens",44-76 23RD ST Queens,44-76,23RD ST ,Queens,Queens,,,Queens,NY
8101.006485,44-78 23RD ST Queens,,44-78 23RD ST,44-78 23RD ST,8101.006485^44-78 23RD ST^nan,90014,"44-78 23RD ST, Queens",44-78 23RD ST Queens,44-78,23RD ST ,Queens,Queens,,,Queens,NY
8101.006549,90-33 160TH ST Queens,,90-33 160TH ST,90-33 160TH ST,8101.006549^90-33 160TH ST^nan,90015,"90-33 160TH ST, Queens",90-33 160TH ST Queens,90-33,160TH ST ,Queens,Queens,,,Queens,NY
8101.006577,55-60 MYRTLE AVE,,55-60 MYRTLE AVE,55-60 MYRTLE AVE,8101.006577^55-60 MYRTLE AVE^nan,90016,55-60 MYRTLE AVE,55-60 MYRTLE AVE,55-60,MYRTLE AVE,,nan,,,,NY
8101.006585,37-56/60 85TH ST QUEENS NY,jf,37-56/60 85TH ST,37-56/60 85TH ST,8101.006585^37-56/60 85TH ST^jf,90017,"37-56/60 85TH ST, QUEENS NY",37-56/60 85TH ST QUEENS NY,37-56/60,85TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.006692,15 Center Dr Queens,,15 CENTER DR,15 CENTER DR,8101.006692^15 CENTER DR^nan,90018,"15 Center Dr, Queens",15 Center Dr Queens,15,CENTER DR ,Queens,Queens,,,Queens,NY
8101.007248,33-23 69TH ST QUEENS NY,jf,33-23 69TH ST,33-23 69TH ST,8101.007248^33-23 69TH ST^jf,90019,"33-23 69TH ST, QUEENS NY",33-23 69TH ST QUEENS NY,33-23,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007269,34-07 73RD ST QUEENS NY,jf,34-07 73RD ST,34-07 73RD ST,8101.007269^34-07 73RD ST^jf,90020,"34-07 73RD ST, QUEENS NY",34-07 73RD ST QUEENS NY,34-07,73RD ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007276,69TH ST QUEENS NY,jf,69TH ST,69TH ST,8101.007276^69TH ST^jf,90021,"69TH ST, QUEENS NY",69TH ST QUEENS NY,,ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007277,33-12 69TH ST QUEENS NY,jf,33-12 69TH ST,33-12 69TH ST,8101.007277^33-12 69TH ST^jf,90022,"33-12 69TH ST, QUEENS NY",33-12 69TH ST QUEENS NY,33-12,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007278,33-14 69TH ST QUEENS NY,jf,33-14 69TH ST,33-14 69TH ST,8101.007278^33-14 69TH ST^jf,90023,"33-14 69TH ST, QUEENS NY",33-14 69TH ST QUEENS NY,33-14,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007279,33-16 69TH ST QUEENS NY,jf,33-16 69TH ST,33-16 69TH ST,8101.007279^33-16 69TH ST^jf,90024,"33-16 69TH ST, QUEENS NY",33-16 69TH ST QUEENS NY,33-16,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00728,33-18 69TH ST QUEENS NY,jf,33-18 69TH ST,33-18 69TH ST,8101.00728^33-18 69TH ST^jf,90025,"33-18 69TH ST, QUEENS NY",33-18 69TH ST QUEENS NY,33-18,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007281,33-20 69TH ST QUEENS NY,jf,33-20 69TH ST,33-20 69TH ST,8101.007281^33-20 69TH ST^jf,90026,"33-20 69TH ST, QUEENS NY",33-20 69TH ST QUEENS NY,33-20,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007282,33-22 69TH ST QUEENS NY,jf,33-22 69TH ST,33-22 69TH ST,8101.007282^33-22 69TH ST^jf,90027,"33-22 69TH ST, QUEENS NY",33-22 69TH ST QUEENS NY,33-22,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007283,33-24 69TH ST QUEENS NY,jf,33-24 69TH ST,33-24 69TH ST,8101.007283^33-24 69TH ST^jf,90028,"33-24 69TH ST, QUEENS NY",33-24 69TH ST QUEENS NY,33-24,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007284,33-26 69TH ST QUEENS NY,jf,33-26 69TH ST,33-26 69TH ST,8101.007284^33-26 69TH ST^jf,90029,"33-26 69TH ST, QUEENS NY",33-26 69TH ST QUEENS NY,33-26,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007285,33-12 70TH ST QUEENS NY,jf,33-12 70TH ST,33-12 70TH ST,8101.007285^33-12 70TH ST^jf,90030,"33-12 70TH ST, QUEENS NY",33-12 70TH ST QUEENS NY,33-12,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007286,33-14 70TH ST QUEENS NY,jf,33-14 70TH ST,33-14 70TH ST,8101.007286^33-14 70TH ST^jf,90031,"33-14 70TH ST, QUEENS NY",33-14 70TH ST QUEENS NY,33-14,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007287,33-16 70TH ST QUEENS NY,jf,33-16 70TH ST,33-16 70TH ST,8101.007287^33-16 70TH ST^jf,90032,"33-16 70TH ST, QUEENS NY",33-16 70TH ST QUEENS NY,33-16,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007288,33-18 70TH ST QUEENS NY,jf,33-18 70TH ST,33-18 70TH ST,8101.007288^33-18 70TH ST^jf,90033,"33-18 70TH ST, QUEENS NY",33-18 70TH ST QUEENS NY,33-18,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007289,33-20 70TH ST QUEENS NY,jf,33-20 70TH ST,33-20 70TH ST,8101.007289^33-20 70TH ST^jf,90034,"33-20 70TH ST, QUEENS NY",33-20 70TH ST QUEENS NY,33-20,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00729,33-22 70TH ST QUEENS NY,jf,33-22 70TH ST,33-22 70TH ST,8101.00729^33-22 70TH ST^jf,90035,"33-22 70TH ST, QUEENS NY",33-22 70TH ST QUEENS NY,33-22,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007291,33-24 70TH ST QUEENS NY,jf,33-24 70TH ST,33-24 70TH ST,8101.007291^33-24 70TH ST^jf,90036,"33-24 70TH ST, QUEENS NY",33-24 70TH ST QUEENS NY,33-24,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007292,33-26 70TH ST QUEENS NY,jf,33-26 70TH ST,33-26 70TH ST,8101.007292^33-26 70TH ST^jf,90037,"33-26 70TH ST, QUEENS NY",33-26 70TH ST QUEENS NY,33-26,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007293,33-28 70TH ST QUEENS NY,jf,33-28 70TH ST,33-28 70TH ST,8101.007293^33-28 70TH ST^jf,90038,"33-28 70TH ST, QUEENS NY",33-28 70TH ST QUEENS NY,33-28,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007294,33-30 70TH ST QUEENS NY,jf,33-30 70TH ST,33-30 70TH ST,8101.007294^33-30 70TH ST^jf,90039,"33-30 70TH ST, QUEENS NY",33-30 70TH ST QUEENS NY,33-30,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007295,33-32 70TH ST QUEENS NY,jf,33-32 70TH ST,33-32 70TH ST,8101.007295^33-32 70TH ST^jf,90040,"33-32 70TH ST, QUEENS NY",33-32 70TH ST QUEENS NY,33-32,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007296,33-34 70TH ST QUEENS NY,jf,33-34 70TH ST,33-34 70TH ST,8101.007296^33-34 70TH ST^jf,90041,"33-34 70TH ST, QUEENS NY",33-34 70TH ST QUEENS NY,33-34,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007297,33-36 70TH ST QUEENS NY,jf,33-36 70TH ST,33-36 70TH ST,8101.007297^33-36 70TH ST^jf,90042,"33-36 70TH ST, QUEENS NY",33-36 70TH ST QUEENS NY,33-36,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007298,33-38 70TH ST QUEENS NY,jf,33-38 70TH ST,33-38 70TH ST,8101.007298^33-38 70TH ST^jf,90043,"33-38 70TH ST, QUEENS NY",33-38 70TH ST QUEENS NY,33-38,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007299,33-40 70TH ST QUEENS NY,jf,33-40 70TH ST,33-40 70TH ST,8101.007299^33-40 70TH ST^jf,90044,"33-40 70TH ST, QUEENS NY",33-40 70TH ST QUEENS NY,33-40,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.0073,33-42 70TH ST QUEENS NY,jf,33-42 70TH ST,33-42 70TH ST,8101.0073^33-42 70TH ST^jf,90045,"33-42 70TH ST, QUEENS NY",33-42 70TH ST QUEENS NY,33-42,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007301,33-44 70TH ST QUEENS NY,jf,33-44 70TH ST,33-44 70TH ST,8101.007301^33-44 70TH ST^jf,90046,"33-44 70TH ST, QUEENS NY",33-44 70TH ST QUEENS NY,33-44,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007302,33-46 70TH ST QUEENS NY,jf,33-46 70TH ST,33-46 70TH ST,8101.007302^33-46 70TH ST^jf,90047,"33-46 70TH ST, QUEENS NY",33-46 70TH ST QUEENS NY,33-46,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007303,33-48 70TH ST QUEENS NY,jf,33-48 70TH ST,33-48 70TH ST,8101.007303^33-48 70TH ST^jf,90048,"33-48 70TH ST, QUEENS NY",33-48 70TH ST QUEENS NY,33-48,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007304,33-45 69TH ST QUEENS NY,jf,33-45 69TH ST,33-45 69TH ST,8101.007304^33-45 69TH ST^jf,90049,"33-45 69TH ST, QUEENS NY",33-45 69TH ST QUEENS NY,33-45,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007305,33-43 69TH ST QUEENS NY,jf,33-43 69TH ST,33-43 69TH ST,8101.007305^33-43 69TH ST^jf,90050,"33-43 69TH ST, QUEENS NY",33-43 69TH ST QUEENS NY,33-43,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007306,33-41 69TH ST QUEENS NY,jf,33-41 69TH ST,33-41 69TH ST,8101.007306^33-41 69TH ST^jf,90051,"33-41 69TH ST, QUEENS NY",33-41 69TH ST QUEENS NY,33-41,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007307,33-39 69TH ST QUEENS NY,jf,33-39 69TH ST,33-39 69TH ST,8101.007307^33-39 69TH ST^jf,90052,"33-39 69TH ST, QUEENS NY",33-39 69TH ST QUEENS NY,33-39,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007308,33-37 69TH ST QUEENS NY,jf,33-37 69TH ST,33-37 69TH ST,8101.007308^33-37 69TH ST^jf,90053,"33-37 69TH ST, QUEENS NY",33-37 69TH ST QUEENS NY,33-37,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007309,33-35 69TH ST QUEENS NY,jf,33-35 69TH ST,33-35 69TH ST,8101.007309^33-35 69TH ST^jf,90054,"33-35 69TH ST, QUEENS NY",33-35 69TH ST QUEENS NY,33-35,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00731,33-33 69TH ST QUEENS NY,jf,33-33 69TH ST,33-33 69TH ST,8101.00731^33-33 69TH ST^jf,90055,"33-33 69TH ST, QUEENS NY",33-33 69TH ST QUEENS NY,33-33,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007311,33-31 69TH ST QUEENS NY,jf,33-31 69TH ST,33-31 69TH ST,8101.007311^33-31 69TH ST^jf,90056,"33-31 69TH ST, QUEENS NY",33-31 69TH ST QUEENS NY,33-31,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007312,33-29 69TH ST QUEENS NY,jf,33-29 69TH ST,33-29 69TH ST,8101.007312^33-29 69TH ST^jf,90057,"33-29 69TH ST, QUEENS NY",33-29 69TH ST QUEENS NY,33-29,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007313,33-27 69TH ST QUEENS NY,jf,33-27 69TH ST,33-27 69TH ST,8101.007313^33-27 69TH ST^jf,90058,"33-27 69TH ST, QUEENS NY",33-27 69TH ST QUEENS NY,33-27,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007314,33-25 69TH ST QUEENS NY,jf,33-25 69TH ST,33-25 69TH ST,8101.007314^33-25 69TH ST^jf,90059,"33-25 69TH ST, QUEENS NY",33-25 69TH ST QUEENS NY,33-25,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007315,33-21 69TH ST QUEENS NY,jf,33-21 69TH ST,33-21 69TH ST,8101.007315^33-21 69TH ST^jf,90060,"33-21 69TH ST, QUEENS NY",33-21 69TH ST QUEENS NY,33-21,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007316,33-19 69TH ST QUEENS NY,jf,33-19 69TH ST,33-19 69TH ST,8101.007316^33-19 69TH ST^jf,90061,"33-19 69TH ST, QUEENS NY",33-19 69TH ST QUEENS NY,33-19,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007317,33-17 69TH ST QUEENS NY,jf,33-17 69TH ST,33-17 69TH ST,8101.007317^33-17 69TH ST^jf,90062,"33-17 69TH ST, QUEENS NY",33-17 69TH ST QUEENS NY,33-17,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007318,33-15 69TH ST QUEENS NY,jf,33-15 69TH ST,33-15 69TH ST,8101.007318^33-15 69TH ST^jf,90063,"33-15 69TH ST, QUEENS NY",33-15 69TH ST QUEENS NY,33-15,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007319,33-11A 69TH ST QUEENS NY,jf,33-11A 69TH ST,33-11A 69TH ST,8101.007319^33-11A 69TH ST^jf,90064,"33-11A 69TH ST, QUEENS NY",33-11A 69TH ST QUEENS NY,33-11A,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00732,33-11 69TH ST QUEENS NY,jf,33-11 69TH ST,33-11 69TH ST,8101.00732^33-11 69TH ST^jf,90065,"33-11 69TH ST, QUEENS NY",33-11 69TH ST QUEENS NY,33-11,69TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007344,82-16 34TH AVE QUEENS NY,jf,82-16 34TH AVE,82-16 34TH AVE,8101.007344^82-16 34TH AVE^jf,90066,"82-16 34TH AVE, QUEENS NY",82-16 34TH AVE QUEENS NY,82-16,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007361,73-02/22 NORTHERN BLVD QUEENS NY,jf,73-02/22 NORTHERN BLVD,73-02/22 NORTHERN BLVD,8101.007361^73-02/22 NORTHERN BLVD^jf,90067,"73-02/22 NORTHERN BLVD, QUEENS NY",73-02/22 NORTHERN BLVD QUEENS NY,73-02/22,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007362,82-06/24 NORTHERN BLVD QUEENS NY,jf,82-06/24 NORTHERN BLVD,82-06/24 NORTHERN BLVD,8101.007362^82-06/24 NORTHERN BLVD^jf,90068,"82-06/24 NORTHERN BLVD, QUEENS NY",82-06/24 NORTHERN BLVD QUEENS NY,82-06/24,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007363,83-02/16 NORTHERN BLVD QUEENS NY,jf,83-02/16 NORTHERN BLVD,83-02/16 NORTHERN BLVD,8101.007363^83-02/16 NORTHERN BLVD^jf,90069,"83-02/16 NORTHERN BLVD, QUEENS NY",83-02/16 NORTHERN BLVD QUEENS NY,83-02/16,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007364,83-18-28 NORTHERN BLVD QUEENS NY,jf,83-18-28 NORTHERN BLVD,83-18-28 NORTHERN BLVD,8101.007364^83-18-28 NORTHERN BLVD^jf,90070,"83-18-28 NORTHERN BLVD, QUEENS NY",83-18-28 NORTHERN BLVD QUEENS NY,83-18-28,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007365,89-02 NORTHERN BLVD QUEENS NY,jf,89-02 NORTHERN BLVD,89-02 NORTHERN BLVD,8101.007365^89-02 NORTHERN BLVD^jf,90071,"89-02 NORTHERN BLVD, QUEENS NY",89-02 NORTHERN BLVD QUEENS NY,89-02,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007366,89-04 NORTHERN BLVD QUEENS NY,jf,89-04 NORTHERN BLVD,89-04 NORTHERN BLVD,8101.007366^89-04 NORTHERN BLVD^jf,90072,"89-04 NORTHERN BLVD, QUEENS NY",89-04 NORTHERN BLVD QUEENS NY,89-04,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007367,89-06 NORTHERN BLVD QUEENS NY,jf,89-06 NORTHERN BLVD,89-06 NORTHERN BLVD,8101.007367^89-06 NORTHERN BLVD^jf,90073,"89-06 NORTHERN BLVD, QUEENS NY",89-06 NORTHERN BLVD QUEENS NY,89-06,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007368,89-08 NORTHERN BLVD QUEENS NY,jf,89-08 NORTHERN BLVD,89-08 NORTHERN BLVD,8101.007368^89-08 NORTHERN BLVD^jf,90074,"89-08 NORTHERN BLVD, QUEENS NY",89-08 NORTHERN BLVD QUEENS NY,89-08,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007369,89-10 NORTHERN BLVD QUEENS NY,jf,89-10 NORTHERN BLVD,89-10 NORTHERN BLVD,8101.007369^89-10 NORTHERN BLVD^jf,90075,"89-10 NORTHERN BLVD, QUEENS NY",89-10 NORTHERN BLVD QUEENS NY,89-10,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.00737,89-12 NORTHERN BLVD QUEENS NY,jf,89-12 NORTHERN BLVD,89-12 NORTHERN BLVD,8101.00737^89-12 NORTHERN BLVD^jf,90076,"89-12 NORTHERN BLVD, QUEENS NY",89-12 NORTHERN BLVD QUEENS NY,89-12,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007371,89-14 NORTHERN BLVD QUEENS NY,jf,89-14 NORTHERN BLVD,89-14 NORTHERN BLVD,8101.007371^89-14 NORTHERN BLVD^jf,90077,"89-14 NORTHERN BLVD, QUEENS NY",89-14 NORTHERN BLVD QUEENS NY,89-14,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007372,89-16 NORTHERN BLVD QUEENS NY,jf,89-16 NORTHERN BLVD,89-16 NORTHERN BLVD,8101.007372^89-16 NORTHERN BLVD^jf,90078,"89-16 NORTHERN BLVD, QUEENS NY",89-16 NORTHERN BLVD QUEENS NY,89-16,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007373,89-18 NORTHERN BLVD QUEENS NY,jf,89-18 NORTHERN BLVD,89-18 NORTHERN BLVD,8101.007373^89-18 NORTHERN BLVD^jf,90079,"89-18 NORTHERN BLVD, QUEENS NY",89-18 NORTHERN BLVD QUEENS NY,89-18,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007374,89-20 NORTHERN BLVD QUEENS NY,jf,89-20 NORTHERN BLVD,89-20 NORTHERN BLVD,8101.007374^89-20 NORTHERN BLVD^jf,90080,"89-20 NORTHERN BLVD, QUEENS NY",89-20 NORTHERN BLVD QUEENS NY,89-20,NORTHERN BLVD,QUEENS,QUEENS,,,QUEENS,NY
8101.007375,69-01 34TH AVE QUEENS NY ,jf,69-01 34TH AVE,69-01 34TH AVE,8101.007375^69-01 34TH AVE^jf,90081,"69-01 34TH AVE, QUEENS NY ",69-01 34TH AVE QUEENS NY ,69-01,34TH AVE ,QUEENS,QUEENS,,,QUEENS,NY
8101.007376,33-53 70TH ST QUEENS NY,jf,33-53 70TH ST,33-53 70TH ST,8101.007376^33-53 70TH ST^jf,90082,"33-53 70TH ST, QUEENS NY",33-53 70TH ST QUEENS NY,33-53,70TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007377,70-05 34TH AVE QUEENS NY,jf,70-05 34TH AVE,70-05 34TH AVE,8101.007377^70-05 34TH AVE^jf,90083,"70-05 34TH AVE, QUEENS NY",70-05 34TH AVE QUEENS NY,70-05,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007378,70-07 34TH AVE QUEENS NY,jf,70-07 34TH AVE,70-07 34TH AVE,8101.007378^70-07 34TH AVE^jf,90084,"70-07 34TH AVE, QUEENS NY",70-07 34TH AVE QUEENS NY,70-07,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007379,70-09 34TH AVE QUEENS NY,jf,70-09 34TH AVE,70-09 34TH AVE,8101.007379^70-09 34TH AVE^jf,90085,"70-09 34TH AVE, QUEENS NY",70-09 34TH AVE QUEENS NY,70-09,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.00738,70-11 34TH AVE QUEENS NY,jf,70-11 34TH AVE,70-11 34TH AVE,8101.00738^70-11 34TH AVE^jf,90086,"70-11 34TH AVE, QUEENS NY",70-11 34TH AVE QUEENS NY,70-11,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007381,70-15 34TH AVE QUEENS NY,jf,70-15 34TH AVE,70-15 34TH AVE,8101.007381^70-15 34TH AVE^jf,90087,"70-15 34TH AVE, QUEENS NY",70-15 34TH AVE QUEENS NY,70-15,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007382,70-17 34TH AVE QUEENS NY,jf,70-17 34TH AVE,70-17 34TH AVE,8101.007382^70-17 34TH AVE^jf,90088,"70-17 34TH AVE, QUEENS NY",70-17 34TH AVE QUEENS NY,70-17,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007383,33-54 71ST ST QUEENS NY,jf,33-54 71ST ST,33-54 71ST ST,8101.007383^33-54 71ST ST^jf,90089,"33-54 71ST ST, QUEENS NY",33-54 71ST ST QUEENS NY,33-54,71ST ST,QUEENS,QUEENS,,,QUEENS,NY
8101.007384,71-01 34TH AVE QUEENS NY,jf,71-01 34TH AVE,71-01 34TH AVE,8101.007384^71-01 34TH AVE^jf,90090,"71-01 34TH AVE, QUEENS NY",71-01 34TH AVE QUEENS NY,71-01,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007385,71-03 34TH AVE QUEENS NY,jf,71-03 34TH AVE,71-03 34TH AVE,8101.007385^71-03 34TH AVE^jf,90091,"71-03 34TH AVE, QUEENS NY",71-03 34TH AVE QUEENS NY,71-03,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007386,71-05 34TH AVE QUEENS NY,jf,71-05 34TH AVE,71-05 34TH AVE,8101.007386^71-05 34TH AVE^jf,90092,"71-05 34TH AVE, QUEENS NY",71-05 34TH AVE QUEENS NY,71-05,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007387,71-07 34TH AVE QUEENS NY,jf,71-07 34TH AVE,71-07 34TH AVE,8101.007387^71-07 34TH AVE^jf,90093,"71-07 34TH AVE, QUEENS NY",71-07 34TH AVE QUEENS NY,71-07,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007388,71-09 34TH AVE QUEENS NY,jf,71-09 34TH AVE,71-09 34TH AVE,8101.007388^71-09 34TH AVE^jf,90094,"71-09 34TH AVE, QUEENS NY",71-09 34TH AVE QUEENS NY,71-09,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007389,71-11 34TH AVE QUEENS NY,jf,71-11 34TH AVE,71-11 34TH AVE,8101.007389^71-11 34TH AVE^jf,90095,"71-11 34TH AVE, QUEENS NY",71-11 34TH AVE QUEENS NY,71-11,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.00739,71-13 34TH AVE QUEENS NY,jf,71-13 34TH AVE,71-13 34TH AVE,8101.00739^71-13 34TH AVE^jf,90096,"71-13 34TH AVE, QUEENS NY",71-13 34TH AVE QUEENS NY,71-13,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007391,71-15 34TH AVE QUEENS NY,jf,71-15 34TH AVE,71-15 34TH AVE,8101.007391^71-15 34TH AVE^jf,90097,"71-15 34TH AVE, QUEENS NY",71-15 34TH AVE QUEENS NY,71-15,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007392,71-17 34TH AVE QUEENS NY,jf,71-17 34TH AVE,71-17 34TH AVE,8101.007392^71-17 34TH AVE^jf,90098,"71-17 34TH AVE, QUEENS NY",71-17 34TH AVE QUEENS NY,71-17,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
8101.007393,71-19 34TH AVE QUEENS NY,jf,71-19 34TH AVE,71-19 34TH AVE,8101.007393^71-19 34TH AVE^jf,90099,"71-19 34TH AVE, QUEENS NY",71-19 34TH AVE QUEENS NY,71-19,34TH AVE,QUEENS,QUEENS,,,QUEENS,NY
