id,address
8101.008983,"35-45 89TH ST, Queens"
8101.008813,"35-46 88TH ST, Queens"
8101.008924,"35-46 89TH ST, Queens"
8101.008691,"35-50 87TH ST, Queens"
8101.008815,"35-50 88TH ST, Queens"
8101.008926,"35-50 89TH ST, Queens"
8101.00874,"35-51 87TH ST, Queens"
8101.008869,"35-51 88TH ST, Queens"
8101.008816,"35-52 88TH ST, Queens"
8101.008928,"35-52A 89TH ST, Queens"
8101.008927,"35-52B 89TH ST, Queens"
8101.010155,"35-53 161st St, Queens"
8101.008741,"35-53 87TH ST, Queens"
8101.008986,"35-53 89TH ST, Queens"
8101.010156,"35-54 161st St, Queens"
8101.008692,"35-54 87TH ST, Queens"
8101.008817,"35-54 88TH ST, Queens"
8101.008929,"35-54 89TH ST, Queens"
8101.008742,"35-55 87TH ST, Queens"
8101.00887,"35-55 88TH ST, Queens"
8101.008693,"35-56 87TH ST, Queens"
8101.008818,"35-56 88TH ST, Queens"
8101.00893,"35-56 89TH ST, Queens"
8101.008743,"35-57 87TH ST, Queens"
8101.008987,"35-57 89TH ST, Queens"
8101.010298,"35-57A/B 163rd St, Queens"
8101.010157,"35-59 161st St, Queens"
8101.010158,"35-60 161st St, Queens"
8101.008744,"35-62 87TH ST, Queens"
8101.010159,"35-63 161st St, Queens"
8101.01016,"35-64 161st St, Queens"
8101.010161,"35-69 161st St, Queens"
8101.008344,"37-01/07 82ND ST, Queens"
8101.008325,"37-02/08 82ND ST, Queens"
8101.009108,"37-15 73RD ST, Queens"
8101.007849,"37-18 73RD ST, Queens"
8101.007851,"37-38 73RD ST, Queens"
8101.007852,"37-42 73RD ST, Queens"
8101.008328,"37-46-50 82ND ST, Queens"
8101.009098,"37-49-59 90TH ST, Queens"
8101.008329,"37-52-58 82ND ST, Queens"
8101.009679,"38-47 Douglaston Parkway, Queens"
8101.01131,"40-20 235th St, Queens"
8101.011789,"41-01 124th St, Queens"
8101.011309,"41-15 104th St, Queens"
8101.009476,"41-23 240TH ST, Queens"
8101.009453,"43-20 242ND ST, Queens"
8101.009442,"43-21 242ND ST, Queens"
8101.009426,"44-21 DOULGASTON PARKWAY, Queens"
8101.009427,"44-23 DOUGLASTON PARKWAY, Queens"
8101.006481,"44-70 23RD ST, Queens"
8101.006482,"44-72 23RD ST, Queens"
8101.006483,"44-74 23RD ST, Queens"
8101.006484,"44-76 23RD ST, Queens"
8101.006485,"44-78 23RD ST, Queens"
8101.006414,"46-02 21ST ST, Queens"
8101.011566,"47-07 30th Pl, Queens"
8101.011565,"47-09 30th St, Queens"
8101.002874,"4823 39TH AVE, Queens"
8101.011716,"50-01 44th St, Queens"
8101.011717,"50-15 44th St, Queens"
8101.011718,"50-20 45th St, Queens"
8101.011587,"57-15 61st St, Queens"
8101.011169,"67-01 110th St, Queens"
8101.010832,"67-54 80th St, Queens"
8101.011205,"72-30 68TH ST, Queens"
8101.007548,"73-02/12 37TH AVE, Queens"
8101.007524,"74-01/27 37TH AVE, Queens"
8101.007526,"76-01/27 37TH AVE, Queens"
8101.007527,"77-01/19 37TH AVE, Queens"
8101.007573,"78-01/09 ROOSEVELT AVE, Queens"
8101.007574,"78-11/17 ROOSEVELT AVE, Queens"
8101.007529,"78-15/31 37TH AVE, Queens"
8101.007575,"79-01/17 ROOSEVELT AVE, Queens"
8101.00753,"79-01/25 37TH AVE, Queens"
8101.00755,"79-02/28 37TH AVE, Queens"
8101.007576,"80-01/13 ROOSEVELT AVE, Queens"
8101.007531,"80-01/27 37TH AVE, Queens"
8101.007551,"80-02/14 37TH AVE, Queens"
8101.007552,"80-16/28 37TH AVE, Queens"
8101.007578,"81-01/09 ROOSEVELT AVE, Queens"
8101.007503,"81-02/10 35TH AVE, Queens"
8101.00758,"82-01/17 ROOSEVELT AVE, Queens"
8101.007532,"82-01/19 37TH AVE, Queens"
8101.007558,"82-08/10 37TH AVE, Queens"
8101.007559,"82-12/20 37TH AVE, Queens"
8101.007533,"83-01/13 37TH AVE, Queens"
8101.00756,"83-10/12 37TH AVE, Queens"
8101.007561,"83-14/22 37TH AVE, Queens"
8101.007534,"83-15/27 37TH AVE, Queens"
8101.007535,"84-01/09 37TH AVE, Queens"
8101.007562,"84-02/30 37TH AVE, Queens"
8101.007536,"84-11/23 37TH AVE, Queens"
8101.007583,"85-01/15 ROOSEVELT AVE, Queens"
8101.007563,"85-02/30 37TH AVE, Queens"
8101.007537,"85-15/25 37TH AVE, Queens"
8101.007584,"86-01/19 ROOSEVELT AVE, Queens"
8101.007564,"86-02/20 37TH AVE, Queens"
8101.007405,"86-11 34TH AVE, Queens"
8101.007585,"87-01/09 ROOSEVELT AVE, Queens"
8101.01117,"87-21 79TH ST, Queens"
8101.00754,"88-01/13 37TH AVE, Queens"
8101.007586,"88-01/17 ROOSEVELT AVE, Queens"
8101.007566,"88-02/28 37TH AVE, Queens"
8101.007407,"88-11 34TH AVE, Queens"
8101.007541,"88-15/31 37TH AVE, Queens"
8101.007587,"89-01/05 ROOSEVELT AVE, Queens"
8101.007542,"89-01/15 37TH AVE, Queens"
8101.007567,"89-02/24 37TH AVE, Queens"
8101.007588,"89-07/09 ROOSEVELT AVE, Queens"
8101.007543,"89-19/31 37TH AVE, Queens"
8101.01126,"89-30 114th St, Queens"
8101.007544,"90-01-15 37TH AVE, Queens"
8101.007568,"90-02-14 37TH AVE, Queens"
8101.006549,"90-33 160TH ST, Queens"
